alpha,delta
0.5,0.18033178784265827
0.51,0.17949764979915103
0.52,0.17869036354167095
0.53,0.17786472374132895
0.54,0.17698322381901174
0.55,0.17601109327477696
0.56,0.17491023851425688
0.5700000000000001,0.17364047093681725
0.5800000000000001,0.1721729320540849
0.5900000000000001,0.17050934034257362
0.6000000000000001,0.16869701799048906
0.6100000000000001,0.1668283330987035
0.6200000000000001,0.165019186963538
0.6300000000000001,0.16337280726217643
0.6400000000000001,0.16194440514606975
0.6500000000000001,0.1607390456311692
0.6600000000000001,0.15975384261824224
0.6700000000000002,0.15899844956337914
0.6800000000000002,0.15843152530159765
0.6900000000000002,0.1579008189342118
0.7000000000000002,0.1572137469444028
0.7100000000000002,0.15627042367200272
0.7200000000000002,0.15511656474869137
0.7300000000000002,0.1539264356489753
0.7400000000000002,0.15299379077989672
0.7500000000000002,0.15266835680371021
0.7600000000000002,0.15311847431240003
0.7700000000000002,0.15411152147276266
0.7800000000000002,0.15520414544033173
0.7900000000000003,0.15606756247545955
0.8000000000000003,0.15641699427456057
0.8100000000000003,0.15587100463332543
0.8200000000000003,0.15375650734856044
0.8300000000000003,0.14865405039760887
0.8400000000000003,0.13954501023228016
0.8500000000000003,0.12787864165470345
0.8600000000000003,0.11640993904946674
0.8700000000000003,0.10472626095092005
0.8800000000000003,0.09185513447341834
0.8900000000000003,0.07982334000571667
0.9000000000000004,0.07133933410076393
0.9100000000000004,0.06793765717630669
0.9200000000000004,0.0679099252394139
0.9300000000000004,0.06786237202059363
0.9400000000000004,0.06724864234971831
0.9500000000000004,0.06682047064752354
0.9600000000000004,0.06682763789503597
0.9700000000000004,0.06688506324336153
0.9800000000000004,0.06675211774739179
0.9900000000000004,0.06659819612767126
