m,delta
20,2.4021968295014426
21,2.5491924833717525
22,2.9296164240626172
23,2.602736065195948
24,2.2830262099740346
25,2.518747724002879
26,2.8265226283540383
27,3.2827131782147685
28,3.219845775213534
29,2.512526969150531
30,3.042750204876133
31,2.549354432841834
32,1.9472599549698184
33,2.1038241134863243
34,2.1778421977558096
35,1.7541709688264198
36,2.344127435665056
37,1.9137852669041346
38,1.5794583713873735
39,1.6874302024564694
40,1.6697193548332694
41,1.7813001509424489
42,1.8725837934071554
43,1.7418767180744603
44,1.7268972308105883
45,1.8002523756245514
46,1.7656953279515746
47,1.6488409871743572
48,1.6606835665938307
49,1.7829067107848666
50,1.783244796602831
51,1.6704069813688731
52,1.728398080913405
53,1.7051917877537732
54,1.6240097930011033
55,1.603304507341466
56,1.508682419880389
57,1.439976969527955
58,1.417864019239626
59,1.3533666081526556
60,1.2544663339647244
61,1.121948083230236
62,0.9928221452852812
63,0.8847716537991229
64,0.8163203409024141
65,0.7512245906079958
66,0.6932426503810554
67,0.6598283766219185
68,0.6154428937088002
69,0.5994038525705482
70,0.6039976174433704
71,0.6743142190011353
72,0.7534766106353041
73,0.7755937230767945
74,0.8104964808435624
75,0.7846813017792007
76,0.7764184249054611
77,0.7550904372906502
78,0.7390066804970028
79,0.751341154194412
80,0.7933862784303616
81,0.8260141028008182
82,0.8422812914886487
83,0.8562710376296294
84,0.8562978469722243
85,0.8499477523338912
86,0.8384368489505735
87,0.8244547448419061
88,0.7839280997856822
89,0.7146329096602985
90,0.6369909508191651
91,0.5454663744668313
92,0.46991164352673914
93,0.45475860145972885
94,0.4457155863983027
95,0.445752394346301
96,0.43131793274495717
97,0.4245690327825033
98,0.42210941477462616
99,0.40754428942658
100,0.4031766089083848
101,0.38786531814593345
102,0.3697133278071043
103,0.35878211868471016
104,0.3514694756237529
105,0.346483386021698
106,0.3427267389343557
107,0.3403167505449454
108,0.33898127493322144
109,0.3381156767745943
110,0.3372996352366574
111,0.3359984455560631
112,0.33457513926208393
113,0.33270537094377434
114,0.3306552552635861
115,0.3283911006023105
116,0.32625813131464726
117,0.32443591825328344
118,0.3229020103932283
119,0.3216695455456131
120,0.3206952181577155
121,0.3198729218546925
122,0.31921021795008586
123,0.3186494804624381
124,0.3182181970250908
125,0.31790079829496093
126,0.31765598386597477
127,0.31745524318313295
128,0.31730570408855574
129,0.3171998082303257
130,0.3171250446026833
131,0.31705334618380476
132,0.3169936216880259
133,0.3169460053323262
134,0.3169097859355757
135,0.316879376279943
136,0.31685490438546055
137,0.3168383727162454
138,0.316826310054065
139,0.3168166593317809
140,0.31680794628803605
141,0.3168004549228308
142,0.3167945664693813
143,0.3167893759898515
144,0.3167850135580597
145,0.31678205346082994
146,0.3167797019011044
147,0.31677848835926786
148,0.3167782475145332
149,0.31677786073918196
150,0.31677731859996583
151,0.31677675720828724
152,0.3167763432662931
153,0.31677567728575945
154,0.31677488792067654
155,0.3167740406321493
156,0.31677330644693347
157,0.3167726853908271
158,0.31677220256636307
159,0.31677184765164673
160,0.31677161092323936
161,0.3167714207986606
162,0.3167712455758956
163,0.3167710616301435
164,0.3167709051646509
165,0.31677077678296844
166,0.3167706727465868
167,0.31677059364184523
168,0.3167705274651974
169,0.31677047433559813
170,0.3167704305626244
171,0.31677040082060154
172,0.31677038601594976
173,0.31677037081284476
174,0.316770350834372
175,0.3167703327769942
176,0.31677032129459076
177,0.316770310968792
178,0.3167703064769714
179,0.31677030311769117
180,0.3167702992219078
181,0.31677029740677537
182,0.3167702963959254
183,0.316770295326796
184,0.3167702939298528
185,0.316770293136681
186,0.3167702927214127
187,0.3167702900855358
188,0.31677028935928075
189,0.31677028894226106
190,0.3167702892511969
191,0.31677028890065706
192,0.3167702894323459
193,0.3167702899829067
194,0.3167702898619369
195,0.31677028958651166
196,0.3167702911123263
197,0.3167702907694619
198,0.31677029010559987
199,0.31677029003067353
200,0.3167702904005712
201,0.31677029066369133
202,0.31677029039536636
203,0.31677029064812295
204,0.3167702906890964
205,0.3167702906450339
206,0.31677028949846586
207,0.31677029105895327
208,0.3167702902932472
209,0.31677028997533674
210,0.3167702905661355
211,0.3167702904787765
212,0.3167702901367933
213,0.3167702911802632
214,0.3167702901482256
215,0.3167702904339356
216,0.316770289733576
217,0.3167702900313287
218,0.31677029015435115
219,0.3167702900085981
220,0.3167702895340628
221,0.3167702897534719
222,0.3167702902291285
223,0.31677029002413737
224,0.31677029022968967
225,0.31677029000630247
226,0.31677028970057247
227,0.31677028966436843
228,0.31677028954341063
229,0.31677028946310065
230,0.316770289767469
231,0.316770289815381
232,0.3167702901132688
233,0.31677028971558796
234,0.3167702900025445
235,0.31677029056023737
236,0.3167702899018509
237,0.31677029005881696
238,0.31677029042919747
239,0.3167702896508774
240,0.31677028965158216
241,0.3167702900785556
242,0.31677028995805023
243,0.31677028973266363
244,0.31677029015432173
245,0.3167702896791767
246,0.3167702903319981
247,0.31677029022679826
248,0.31677029000999474
249,0.31677029055695777
250,0.3167702898753302
251,0.31677028987793976
252,0.31677029045332283
253,0.31677028948458125
254,0.31677029033514886
255,0.3167702903832124
256,0.3167702898254248
257,0.31677029041403937
258,0.31677029021701564
259,0.3167702894298542
260,0.3167702897821643
261,0.31677029014759
262,0.31677028910096466
263,0.3167702906831988
264,0.31677029017093455
265,0.31677029044661753
266,0.31677029059222794
267,0.31677029046625843
268,0.3167702897303338
269,0.31677029042344973
270,0.31677029062880996
271,0.31677028915201344
272,0.3167702897400017
273,0.3167702897713478
274,0.3167702898405736
275,0.31677029025590064
276,0.3167702901042942
277,0.31677028944452856
278,0.3167702895083598
279,0.31677029040980803
280,0.31677029038010623
281,0.316770289550431
282,0.3167702899234047
283,0.31677028938993695
284,0.3167702907230703
285,0.31677029042834315
286,0.3167702901476144
287,0.31677029013494035
288,0.3167702901174982
289,0.31677029000583756
290,0.3167702901891982
291,0.3167702895196656
292,0.31677029013782226
293,0.31677029034679904
294,0.31677028974781674
295,0.3167702903632162
296,0.31677028904310184
297,0.3167702903922246
298,0.31677028970408405
299,0.3167702897402914
300,0.31677029080433755
301,0.31677028877446733
302,0.31677028944833485
303,0.3167702899605864
304,0.31677028936125734
305,0.31677029070867047
306,0.3167702884973307
307,0.31677028926869233
308,0.31677028887060443
309,0.31677028891465864
310,0.3167702889885258
311,0.3167702897369346
312,0.31677028938765817
313,0.3167702899263836
314,0.31677028932478557
315,0.31677029065962503
316,0.3167702899825217
317,0.3167702897686888
318,0.31677029033710896
319,0.3167702896258169
320,0.3167702896907256
321,0.3167702894217232
322,0.31677029049193683
323,0.3167702897980982
324,0.3167702902387753
325,0.3167702890747023
326,0.3167702886415692
327,0.316770290327987
328,0.31677028923076234
329,0.31677029021440334
330,0.31677028974737603
331,0.3167702899679253
332,0.3167702890693623
333,0.3167702892007869
334,0.31677028972243737
