m,delta
20,3.7256916110241938
21,3.6670892019314607
22,3.703963788812484
23,4.004303404809459
24,4.405957818122263
25,4.69123139859996
26,4.963447429810193
27,5.036546539223872
28,5.438902268067735
29,4.784721868499164
30,4.74488773277911
31,4.540384133170881
32,6.075029998451461
33,6.2771538118055235
34,6.329322972497547
35,6.7430644159688775
36,6.68349852040625
37,6.643320696710323
38,6.501001375608165
39,6.42883825816756
40,6.285608989904295
41,6.126988034267021
42,6.119308701859031
43,5.495632500851087
44,5.0134469392966805
45,5.053955111722274
46,4.957354249237413
47,4.999697274901012
48,5.3390683178294704
49,6.033828685215945
50,5.451298339830477
51,5.215406362240786
52,5.102886701572415
53,4.949370832676827
54,4.453752284896878
55,3.9339637359378155
56,3.528982721088576
57,3.3963517560996603
58,3.257361179490425
59,3.3266902806204346
60,3.6969588933518454
61,3.776498460156173
62,3.4908422257622314
63,3.2866677665488604
64,3.156035369740144
65,3.018236340263018
66,2.9936139076447232
67,2.9922427662746527
68,3.0114696126962706
69,3.0366586057418976
70,3.021093514860441
71,3.0319226793935417
72,3.2680497254177294
73,3.274700220894898
74,3.207247273825909
75,3.229834718491612
76,3.2535860659433467
77,3.2605782988761822
78,3.300872470494513
79,3.3155866582969797
80,3.3235940773017405
81,3.315208764506399
82,3.298419190220442
83,3.306363610780157
84,3.3136627786372657
85,3.30992465459165
86,3.3099018081344096
87,3.2890215409502503
88,3.2429475518146447
89,3.16463265955313
90,3.099481876781924
91,3.0492302876092254
92,3.008942542405191
93,2.980772017012061
94,2.9627547952131303
95,2.950567636295252
96,2.931830843479684
97,2.906046628384232
98,2.8776686023060623
99,2.849079459026165
100,2.8207906262941305
101,2.792924426270665
102,2.7700780512348153
103,2.754484817653857
104,2.7431743992638733
105,2.736041244404138
106,2.734676308159824
107,2.737319853766403
108,2.7410614651677148
109,2.744957496267335
110,2.7480367100605183
111,2.7499998193536177
112,2.750978186032951
113,2.75133153148837
114,2.7471076790445066
115,2.7414900436673153
116,2.7367501443090947
117,2.733548778919249
118,2.7320057976537107
119,2.731054984557121
120,2.7302329199431328
121,2.7296225859100067
122,2.729172652572606
123,2.7289234471195445
124,2.728853403646758
125,2.7288942748337144
126,2.728977122226136
127,2.7290269588828657
128,2.729003536268084
129,2.7288891743424175
130,2.7286242534269376
131,2.7281926153329192
132,2.7276997029303987
133,2.727206922926797
134,2.7268339434355124
135,2.726685593701184
136,2.7267600533189316
137,2.7270308821197324
138,2.7274494648905447
139,2.7279838910045986
140,2.7286232448247456
141,2.729349398143449
142,2.7301278596339142
143,2.730929438450241
144,2.7317261549824567
145,2.7324837638734834
146,2.7331720276571416
147,2.7337763747408554
148,2.7342901948168743
149,2.7347115865267355
150,2.735045413209194
151,2.735298676590297
152,2.735480602525034
153,2.735603206661191
154,2.7356785909093526
155,2.7357184409107873
156,2.735733019084428
157,2.7357310756041686
158,2.7357195619485486
159,2.7357039541206736
160,2.735687944082116
161,2.735673892405665
162,2.7356630998398868
163,2.7356558953073957
164,2.7356520391943944
165,2.735651115930721
166,2.735652457091
167,2.735655417311541
168,2.735659453489522
169,2.7356640694541428
170,2.7356687658537058
171,2.7356733761113583
172,2.735677700290534
173,2.735681569261262
174,2.735684974289252
175,2.7356878654349863
176,2.735690273694348
177,2.7356923227051544
178,2.7356939423802418
179,2.7356953313334986
180,2.7356964697283126
181,2.735697394751744
182,2.735698157023046
183,2.735698793343669
184,2.735699318899922
185,2.735699729581371
186,2.735700071661029
187,2.7357003619000158
188,2.7357005925224493
189,2.73570075926956
190,2.7357009096089024
191,2.7357009733500637
192,2.735701104612998
193,2.7357011878334974
194,2.7357012447194924
195,2.7357012487281365
196,2.7357012926666884
197,2.7357012778958305
198,2.7357013211906938
199,2.7357013141399857
200,2.7357013022757855
201,2.7357013009898514
202,2.7357013269240062
203,2.735701304721757
204,2.7357013182816106
205,2.7357013017768512
206,2.735701289310794
207,2.735701277897824
208,2.7357013095865836
209,2.735701301845318
210,2.735701296254277
211,2.7357013206407403
212,2.735701287345886
213,2.7357012784658625
214,2.735701312850545
215,2.7357012994860552
216,2.7357012933505036
217,2.7357012830499836
218,2.735701300617371
219,2.7357012752915897
220,2.735701287118826
221,2.7357012725732326
222,2.7357012870947104
223,2.7357012646909977
224,2.7357013042066938
225,2.7357012928270166
226,2.7357012782529475
227,2.7357012760162163
228,2.7357012587866123
229,2.735701282957889
230,2.735701322987835
231,2.7357013085920556
232,2.7357012785672796
233,2.7357012589691605
234,2.735701294161017
235,2.735701260075613
236,2.7357012487405283
237,2.7357012888368013
238,2.7357012865681174
239,2.735701303179588
240,2.7357013092720845
241,2.7357013049596857
242,2.7357013120419325
243,2.735701301043007
244,2.735701313337626
245,2.7357013029216954
246,2.7357012969763757
247,2.735701299067271
248,2.735701292908383
249,2.7357012888956236
250,2.7357012954570434
251,2.7357012934037646
252,2.7357012914946126
253,2.7357012789056605
254,2.735701298543874
255,2.735701303136452
256,2.7357013000132286
257,2.7357012595736365
258,2.7357013004721504
259,2.7357012715578293
260,2.735701280922529
261,2.7357012874011524
262,2.7357012839907155
263,2.7357012927179443
264,2.735701306983943
265,2.735701303991827
266,2.735701288283134
267,2.735701292111302
268,2.7357012920374264
269,2.7357012892687007
270,2.7357012874154254
271,2.735701277684534
272,2.7357012597881223
273,2.735701290864006
274,2.7357012918915413
275,2.7357012860762495
276,2.7357012907313383
277,2.735701295690014
278,2.7357012822719193
279,2.735701287425727
280,2.735701272741446
281,2.7357012988839196
282,2.7357012760213593
283,2.7357012869388284
284,2.735701303755762
285,2.7357012971179553
286,2.7357012785956427
287,2.7357012960156735
288,2.735701278615388
289,2.7357012939749152
290,2.735701310641644
291,2.7357012935649525
292,2.7357012922157997
293,2.7357012956793936
294,2.7357012979248934
295,2.735701302744237
296,2.735701290550958
297,2.7357012821992965
298,2.735701290485048
299,2.735701294147985
300,2.7357013012111655
301,2.735701309922976
302,2.7357012980814113
303,2.7357013103639303
304,2.7357012944976704
305,2.7357012879412013
306,2.7357012864636134
307,2.7357012971960124
308,2.7357013184724295
309,2.73570131590486
310,2.735701320438459
311,2.735701258329076
312,2.7357012713567643
313,2.7357012637718023
314,2.735701288506769
315,2.7357012811163823
316,2.7357013281169045
317,2.7357012958578744
318,2.7357012894650867
319,2.7357013041857083
320,2.7357012910032306
321,2.735701307394303
322,2.7357012963163267
323,2.7357012872240385
324,2.735701287073819
325,2.7357013102465775
326,2.735701290998421
327,2.7357013300310498
328,2.7357013302828306
329,2.7357013179416763
330,2.7357013316706174
331,2.7357013109740036
332,2.7357013118370426
333,2.735701314315579
334,2.7357013115779796
335,2.735701299498533
336,2.7357012942258874
337,2.7357012840461996
338,2.735701299260341
339,2.7357013006709505
340,2.735701329025772
341,2.7357013224102245
342,2.7357013213583588
343,2.7357012876788156
344,2.7357012958885165
345,2.7357012842454855
346,2.735701315858793
347,2.735701276080815
348,2.735701316370179
349,2.7357012796941946
350,2.7357012875806137
351,2.7357013145687272
352,2.7357012894860215
353,2.735701307646006
354,2.73570129635079
355,2.7357012871578443
356,2.7357012901942146
357,2.735701307050018
358,2.7357012942713452
359,2.7357013315065237
360,2.7357013286823006
361,2.735701317992306
362,2.7357013285905114
363,2.735701312235552
364,2.7357013132443035
365,2.735701313982065
366,2.735701311584121
367,2.7357013003417543
368,2.7357012929371987
369,2.735701286574884
370,2.735701299392557
371,2.735701300698611
372,2.7357013290289416
373,2.7357013224102245
374,2.735701321357596
375,2.7357012876642326
376,2.7357012958885165
377,2.7357012849958253
378,2.735701315852528
379,2.7357012760743675
380,2.735701316370179
381,2.735701279692566
382,2.7357012875792845
383,2.73570131456594
384,2.7357012894860215
385,2.735701307646006
386,2.7357012963504057
387,2.735701287156021
388,2.7357012901942146
389,2.7357013070508733
390,2.735701294273133
391,2.735701331510996
392,2.7357013286801273
393,2.735701317988166
394,2.73570132859134
395,2.7357013122416567
396,2.7357013132440553
397,2.735701313989607
398,2.7357013115967934
399,2.7357013003441644
400,2.7357012929371987
401,2.735701286572598
402,2.735701299392557
403,2.735701300698611
404,2.7357013290289416
405,2.7357013224102245
406,2.735701321357596
407,2.7357012876729945
408,2.7357012958885165
409,2.735701284992726
410,2.735701315858793
411,2.7357012760750843
412,2.735701316370179
413,2.735701279689749
414,2.7357012875792845
415,2.7357013145697504
416,2.7357012894860215
417,2.735701307646006
418,2.7357012963475134
419,2.7357012871573643
420,2.7357012901942146
421,2.7357013070527967
422,2.7357012942725616
423,2.7357013315065593
424,2.7357013286801273
425,2.7357013179909666
426,2.735701328590475
427,2.7357013122427762
428,2.7357013132440553
429,2.735701313989607
430,2.7357013115982447
431,2.735701300339033
432,2.7357012929402034
433,2.735701286573485
434,2.735701299409201
435,2.7357013006919892
436,2.7357013290228522
437,2.7357013224013818
438,2.7357013213796564
439,2.73570128770215
440,2.7357012958885165
441,2.7357012849958253
442,2.735701315858793
443,2.735701276075413
444,2.735701316370179
445,2.7357012796914946
446,2.7357012875792845
447,2.7357013145658695
448,2.7357012894860215
449,2.735701307646006
450,2.7357012963512912
451,2.735701287156752
452,2.7357012901942146
453,2.7357013070527967
454,2.7357012942725616
455,2.7357013315065593
456,2.7357013286801273
457,2.735701317988166
458,2.735701328591531
459,2.7357013122411584
460,2.7357013132440553
461,2.735701313989607
462,2.7357013115967934
463,2.7357013003432287
464,2.7357012929402034
465,2.735701286574947
466,2.7357012994086944
467,2.7357013006919892
468,2.7357013290228522
469,2.7357013224013818
470,2.7357013213796297
471,2.7357012877025513
472,2.735701295919332
473,2.7357012850369764
474,2.735701315843145
475,2.7357012760959156
476,2.7357013163590795
477,2.7357012797193425
478,2.7357012875593583
479,2.735701314593219
480,2.7357012894860215
481,2.735701307646006
482,2.7357012963504057
483,2.7357012871591446
484,2.7357012901942146
485,2.7357013070527967
486,2.7357012942725616
487,2.7357013315065593
488,2.7357013286801273
489,2.735701317988166
490,2.735701328590985
491,2.7357013122416567
492,2.7357013132440553
493,2.735701313989607
494,2.7357013115999615
495,2.7357013003441644
496,2.7357012929402034
497,2.735701286573485
498,2.735701299412845
499,2.7357013006924653
