m,delta
20,5.422572956356736
21,5.30077783110142
22,5.142248069404345
23,4.917378754415698
24,4.608371484661745
25,4.7976998123537715
26,4.563024233244165
27,4.2884637407673205
28,4.137648852491074
29,4.2737027215010155
30,4.213256984443319
31,4.09262900737571
32,3.9617804488771347
33,3.8331721844432463
34,3.6582211168978405
35,3.5723285758591183
36,3.5110921602951057
37,3.38309231532663
38,3.285122270007539
39,3.247746295939197
40,3.1999050298453358
41,3.123967086405618
42,3.052197840990857
43,2.996167783551629
44,2.936850716611864
45,2.8832901737897307
46,2.847062113461925
47,2.812840724688953
48,2.7780899094359763
49,2.7424234046951703
50,2.706531625007023
51,2.67274120873024
52,2.643251151706577
53,2.618341989862757
54,2.596967603478746
55,2.578966554651436
56,2.5643794258073913
57,2.553000310235734
58,2.544415907772161
59,2.5381382318057852
60,2.533706397904247
61,2.5306763074753786
62,2.5286378360370807
63,2.527249866539458
64,2.5262935131586133
65,2.5256306027299056
66,2.5251712388224807
67,2.524860021025238
68,2.5246577593223662
69,2.5245326249308344
70,2.524456071118457
71,2.524406394799334
72,2.5243711286755826
73,2.5243452325539244
74,2.5243266567074096
75,2.5243135190453225
76,2.5243045346041417
77,2.5242985456022193
78,2.5242947365688404
79,2.5242924014824153
80,2.524291001133434
81,2.5242902291966
82,2.5242898102763043
83,2.5242895449363725
84,2.5242894373563667
85,2.524289343179728
86,2.5242893084495712
87,2.5242892899162537
88,2.524289302814607
89,2.524289288771529
90,2.5242892517216577
91,2.524289275773751
92,2.5242892845128067
93,2.524289280761615
94,2.524289270956376
95,2.5242892715120533
96,2.5242892606097604
97,2.5242892832970063
98,2.5242892570341002
99,2.5242892908687824
100,2.524289268788833
101,2.524289263818621
102,2.5242892641593007
103,2.524289281298106
104,2.5242892600814226
105,2.524289267399641
106,2.524289276532701
107,2.5242892709496587
108,2.524289277380537
109,2.524289269983258
110,2.5242892704239757
111,2.524289271070367
112,2.5242892735934968
113,2.5242892665532684
114,2.5242892652878033
115,2.5242892716343346
116,2.5242892672198085
117,2.5242892758135835
118,2.5242892771002103
119,2.524289274469277
120,2.524289274994697
121,2.524289272463233
122,2.524289265452417
123,2.5242892699090596
124,2.5242892663955145
125,2.5242892724282884
126,2.524289263468684
127,2.524289256399217
128,2.524289289060312
129,2.5242892719278776
130,2.524289267380267
131,2.5242892796851923
132,2.5242892564750776
133,2.5242892684084137
134,2.5242892614019175
135,2.5242892754275768
136,2.52428927696771
137,2.524289265306724
138,2.5242892620890793
139,2.5242892768116723
140,2.5242892681382307
141,2.5242892713005376
142,2.524289274352619
143,2.5242892668537307
144,2.5242892757482567
145,2.5242892730817386
146,2.5242892714606264
147,2.524289278069076
148,2.524289257069466
149,2.5242892569487907
150,2.5242892642188894
151,2.5242892668537307
152,2.5242892757442807
153,2.5242892730822994
154,2.524289271452074
155,2.5242892780622608
156,2.5242892570223914
157,2.5242892568362207
158,2.5242892643441763
159,2.524289266661465
160,2.524289275750826
161,2.5242892730817386
162,2.524289271462291
163,2.5242892748849046
164,2.5242892659980853
165,2.5242892709418476
166,2.5242892640291434
167,2.524289272163807
168,2.5242892892419353
169,2.524289258788027
170,2.5242892825021386
171,2.5242892752843775
172,2.52428924566523
173,2.5242892762251525
174,2.5242892812279965
175,2.5242892748849046
176,2.5242892659803875
177,2.5242892709418476
178,2.524289264032288
179,2.5242892721699053
180,2.5242892892379216
181,2.5242892587955588
182,2.5242892825066634
183,2.5242892752922454
184,2.5242892456541965
185,2.524289276226188
186,2.524289281186709
187,2.5242892748849046
188,2.5242892659803875
189,2.5242892709434246
190,2.524289264032288
191,2.524289272164949
192,2.5242892892379216
193,2.524289258799101
194,2.5242892825013707
195,2.5242892752922454
196,2.5242892456727586
197,2.524289276222404
198,2.524289281186709
199,2.52428927488452
200,2.5242892659803875
201,2.5242892709418476
202,2.524289264032288
203,2.524289272164949
204,2.5242892892466386
205,2.524289258799101
206,2.5242892825021386
207,2.5242892752922454
208,2.524289245669059
209,2.524289276221193
210,2.524289281186709
211,2.5242892748849046
212,2.5242892659803875
213,2.5242892709418476
214,2.524289264017411
215,2.524289272164949
216,2.5242892892379216
217,2.524289258799101
218,2.5242892825021386
219,2.52428927527612
220,2.5242892456727586
221,2.5242892762204088
222,2.524289281186709
223,2.5242892748849046
224,2.52428926599483
225,2.5242892709418476
226,2.524289264032288
227,2.524289272164949
228,2.5242892892379216
229,2.524289258790015
230,2.5242892825021386
231,2.5242892752922454
232,2.5242892456727586
233,2.524289276226188
234,2.5242892812321545
235,2.5242892748849046
236,2.5242892659803875
237,2.5242892709418476
238,2.524289264032288
239,2.5242892721664627
240,2.5242892892379216
241,2.524289258799101
242,2.5242892825021386
243,2.524289275290533
244,2.5242892456541965
245,2.524289276226188
246,2.524289281186709
247,2.5242892748849046
248,2.5242892659803875
249,2.5242892709434246
250,2.524289264032288
251,2.524289272164949
252,2.5242892892379216
253,2.524289258799101
254,2.5242892825093466
255,2.5242892752922454
256,2.5242892456727586
257,2.524289276226188
258,2.524289281186709
259,2.524289274882223
260,2.5242892659803875
261,2.5242892709418476
262,2.524289264032288
263,2.524289272164949
264,2.5242892892466386
265,2.524289258799101
266,2.5242892825021386
267,2.5242892752922454
268,2.5242892456727586
269,2.5242892762254474
270,2.524289281186709
271,2.5242892748849046
272,2.5242892659803875
273,2.5242892709418476
274,2.524289264017411
275,2.524289272164949
276,2.5242892892379216
277,2.524289258799101
278,2.5242892825021386
279,2.52428927527612
280,2.5242892456727586
281,2.524289276226188
282,2.524289281186709
283,2.5242892748849046
284,2.52428926599483
285,2.5242892709418476
286,2.524289264032288
287,2.524289272164949
288,2.5242892892379216
289,2.524289258790015
290,2.5242892825021386
291,2.5242892752922454
292,2.5242892456727586
293,2.524289276226188
294,2.5242892812279965
295,2.5242892748849046
296,2.5242892659803875
297,2.5242892709418476
298,2.524289264032288
299,2.5242892721664627
300,2.5242892892379216
301,2.524289258799101
302,2.5242892825021386
303,2.5242892752922454
304,2.5242892456541965
305,2.524289276226188
306,2.524289281186709
307,2.5242892748849046
308,2.5242892659803875
309,2.5242892709434246
310,2.524289264032288
311,2.524289272164949
312,2.5242892892379216
313,2.524289258799101
314,2.5242892825093466
315,2.5242892752922454
316,2.5242892456727586
317,2.524289276226188
318,2.524289281186709
319,2.524289274882223
320,2.5242892659803875
321,2.5242892709418476
322,2.524289264032288
323,2.524289272164949
324,2.5242892892466386
325,2.524289258799101
326,2.5242892825021386
327,2.5242892752922454
328,2.5242892456727586
329,2.5242892762254474
330,2.524289281186709
331,2.5242892748849046
332,2.5242892659803875
333,2.5242892709418476
334,2.524289264017411
335,2.524289272164949
336,2.5242892892379216
337,2.524289258799101
338,2.5242892825021386
339,2.52428927527612
340,2.5242892456727586
341,2.524289276226188
342,2.524289281186709
343,2.5242892748849046
344,2.52428926599483
345,2.5242892709418476
346,2.524289264032288
347,2.524289272164949
348,2.5242892892379216
349,2.524289258790015
350,2.5242892825021386
351,2.5242892752922454
352,2.5242892456727586
353,2.524289276226188
354,2.5242892812279965
355,2.5242892748849046
356,2.5242892659803875
