m,delta
20,0.1860678667207856
21,0.18532642504444916
22,0.18366295290667606
23,0.18194776408817023
24,0.18038777066172934
25,0.1791232484538716
26,0.17775672444995652
27,0.17676752572208862
28,0.1763910121322895
29,0.17609051037148837
30,0.17565044117252457
31,0.17517515386933485
32,0.1748745427277183
33,0.17480821157555207
34,0.17502898635171
35,0.17546993065838348
36,0.1761972411918181
37,0.1769356365740417
38,0.17742236832977407
39,0.17786181743816856
40,0.1784261954222871
41,0.17903381696619655
42,0.17945545024044665
43,0.17948936892086798
44,0.17899311502351548
45,0.1784393499975993
46,0.17750203597803216
47,0.17637712837857766
48,0.17552608705118528
49,0.1747094885982835
50,0.1740404606219177
51,0.1738588110575609
52,0.1738225787539515
53,0.17377719754784607
54,0.17406249529035156
55,0.1751303422113397
56,0.17551600078763516
57,0.17560097555756965
58,0.17478607894016485
59,0.17261232176599284
60,0.17038041164217535
61,0.1678650260965718
62,0.16497761671283354
63,0.1611851631012858
64,0.15685432088763976
65,0.15223413012426243
66,0.14735433418138533
67,0.14250298641399634
68,0.13823373775855813
69,0.13413735259220233
70,0.13021306486618667
71,0.12624147003496564
72,0.1227814296942548
73,0.11945505368508927
74,0.116459236766056
75,0.11357428405159543
76,0.11058164349975634
77,0.10775731131095895
78,0.10498030081687869
79,0.10224165389067777
80,0.0993502294990589
81,0.09654702784022905
82,0.09388704901465397
83,0.09145940627724888
84,0.08900463920428985
85,0.08653319151786713
86,0.08425833572743402
87,0.08224246898437046
88,0.0804043189446487
89,0.07867747112617379
90,0.07696030927609587
91,0.07549914345788201
92,0.07424259278505128
93,0.07317951962768313
94,0.0723365356446545
95,0.07173975611146813
96,0.07139818863802759
97,0.0712700100903066
98,0.07125992016271536
99,0.07130455003258766
100,0.07133933454922761
101,0.07134156857841452
102,0.07131129690922149
103,0.07125357111731719
104,0.07116488362568459
105,0.07105626459236677
106,0.07093717628152908
107,0.0708082353121393
108,0.07066171565226251
109,0.0705098973832336
110,0.07036418061498186
111,0.07022973871247748
112,0.07011013566794255
113,0.07000959241564866
114,0.06992895715150671
115,0.06986458405367421
116,0.06981242618068803
117,0.06976962029537881
118,0.06973426505007284
119,0.06970526615260954
120,0.06968143742031388
121,0.06966121485964616
122,0.06964333659178626
123,0.06962809762845168
124,0.06961546165217533
125,0.06960452486060699
126,0.06959508342047782
127,0.06958751134075192
128,0.06958174004137209
129,0.06957729642849701
130,0.06957423434709695
131,0.06957258887886475
132,0.06957214588095054
133,0.06957260057908929
134,0.06957343298590364
135,0.0695742937121477
136,0.06957505855679741
137,0.06957571947111557
138,0.06957630849211034
139,0.06957681056578109
140,0.06957719049044565
141,0.06957743118355829
142,0.06957755441560767
143,0.069577589979938
144,0.06957757749208235
145,0.06957755050712072
146,0.06957751494533458
147,0.06957746771627009
148,0.0695774087831968
149,0.06957734181292739
150,0.06957727276968143
151,0.06957720480602719
152,0.06957714087469967
153,0.0695770832386597
154,0.06957703254499839
155,0.06957698583145801
156,0.06957694449803549
157,0.0695769071013856
158,0.06957687402312442
159,0.06957684399045824
160,0.0695768193017935
161,0.06957679863082546
162,0.06957678102648952
163,0.06957676736178
164,0.06957675670996662
165,0.06957674897628777
166,0.06957674292218077
167,0.06957673910426991
168,0.06957673617053299
169,0.06957673480018048
170,0.06957673349450427
171,0.0695767322187102
172,0.06957673195781867
173,0.0695767316949323
174,0.06957673153832641
175,0.06957673178989597
176,0.06957673107039333
177,0.06957673206351386
178,0.06957673209067143
179,0.06957673175946509
180,0.06957673210322893
181,0.06957673241200271
182,0.06957673263502678
183,0.06957673231939876
184,0.06957673223232679
185,0.06957673235021132
186,0.06957673257761694
187,0.06957673260352747
188,0.06957673236102478
189,0.06957673236460886
190,0.06957673254309334
191,0.06957673218754086
192,0.06957673202843788
193,0.06957673165515636
194,0.06957673209534085
195,0.06957673147889946
196,0.06957673280850864
197,0.0695767326358312
198,0.06957673198229422
199,0.06957673253189099
200,0.06957673230861325
201,0.06957673222563816
202,0.06957673273577353
203,0.06957673237238551
204,0.0695767327467615
205,0.0695767321874522
206,0.06957673217698358
207,0.06957673210286221
208,0.06957673246550804
209,0.069576732466583
210,0.0695767324875308
211,0.06957673231201672
212,0.06957673251505299
213,0.06957673250941818
214,0.06957673228949224
215,0.06957673262079772
216,0.0695767322281378
217,0.06957673228399706
218,0.06957673210688406
219,0.06957673231016454
220,0.06957673211834468
221,0.06957673250442398
222,0.06957673257302678
223,0.06957673271634557
224,0.06957673233625118
225,0.06957673265210967
226,0.06957673251738868
227,0.06957673236691168
228,0.06957673222821609
229,0.06957673282184437
230,0.06957673302006125
231,0.06957673253164269
232,0.0695767325679596
233,0.06957673248027647
234,0.06957673269783178
235,0.0695767325548539
236,0.06957673249812911
237,0.06957673242051271
238,0.06957673247692663
239,0.0695767323016839
240,0.06957673265796972
241,0.06957673230423243
242,0.06957673276735603
243,0.06957673234065248
244,0.06957673258275397
245,0.06957673271760952
246,0.06957673260690646
247,0.0695767324768304
248,0.06957673225840075
249,0.06957673291828728
250,0.06957673276556364
251,0.06957673263580687
252,0.06957673244455786
253,0.06957673252556715
254,0.06957673247163504
255,0.06957673263945037
256,0.0695767325774873
257,0.06957673221086587
258,0.06957673236533564
259,0.06957673278264402
260,0.06957673285879357
261,0.06957673264326976
262,0.06957673239858114
263,0.0695767326889123
264,0.06957673267423325
265,0.0695767324817239
266,0.06957673192262244
267,0.06957673231656974
268,0.06957673251785225
269,0.06957673251606465
270,0.06957673231256582
271,0.0695767323662579
272,0.06957673264267242
273,0.06957673275068232
274,0.06957673246247228
275,0.06957673249601437
276,0.06957673205731608
277,0.06957673259209504
278,0.06957673209099624
279,0.06957673250152656
280,0.0695767323099854
281,0.06957673268043846
282,0.06957673250911357
283,0.06957673264896988
284,0.06957673251127246
285,0.06957673245078601
286,0.06957673245817411
287,0.06957673257432041
288,0.06957673230267072
289,0.06957673285866703
290,0.06957673229893921
291,0.06957673230285663
292,0.06957673267739525
293,0.06957673248542064
294,0.06957673232302965
295,0.06957673241402856
296,0.06957673246268602
297,0.06957673267354268
298,0.06957673267096551
299,0.06957673283356687
300,0.06957673249693014
301,0.06957673227483893
302,0.06957673286064801
303,0.06957673272217202
304,0.06957673278792424
305,0.06957673224929246
306,0.06957673309287535
307,0.06957673246313244
308,0.06957673277186373
309,0.06957673247671849
310,0.06957673241765538
311,0.06957673316248106
312,0.06957673253605022
313,0.06957673239414243
314,0.06957673245141943
315,0.06957673257218462
316,0.06957673272246202
317,0.0695767325500023
318,0.06957673289633998
319,0.0695767327045682
320,0.06957673229947675
321,0.0695767325290388
322,0.06957673257846508
323,0.06957673271262371
324,0.0695767323173862
325,0.06957673256586284
326,0.06957673288448905
327,0.06957673243650314
328,0.06957673233166678
329,0.06957673257044578
330,0.06957673279872229
331,0.06957673245169801
332,0.06957673278672377
333,0.06957673264885009
334,0.06957673311717752
335,0.06957673229587052
336,0.0695767324278058
337,0.0695767325264242
338,0.06957673299774504
339,0.06957673245921168
340,0.06957673277186373
341,0.0695767324767304
342,0.06957673241767688
343,0.06957673316249986
344,0.06957673253605022
345,0.06957673239417554
346,0.0695767324514112
347,0.06957673257216888
348,0.06957673272246202
349,0.06957673255002278
350,0.06957673289630069
351,0.06957673270454574
352,0.06957673229942443
353,0.0695767325291246
354,0.0695767325784688
355,0.0695767327126132
356,0.06957673232178554
357,0.06957673256586465
358,0.06957673288450185
359,0.06957673243667421
360,0.06957673233166678
361,0.06957673257044587
362,0.06957673279873844
363,0.06957673245172688
364,0.06957673278672377
365,0.0695767326488355
366,0.06957673311716775
367,0.06957673229585838
368,0.0695767324278058
369,0.0695767325264476
370,0.06957673299774764
371,0.0695767324592606
372,0.06957673277186373
373,0.06957673247671849
