alpha,delta
0.5,0.012684592760247653
0.51,0.013006243765211044
0.52,0.0130595536860896
0.53,0.012829594230886709
0.54,0.01232465998832284
0.55,0.011570981847488504
0.56,0.010614701635001035
0.5700000000000001,0.009526145068731099
0.5800000000000001,0.008397899898254648
0.5900000000000001,0.007336718344026898
0.6000000000000001,0.0064536243590039314
0.6100000000000001,0.005844625295184759
0.6200000000000001,0.0055492556959941585
0.6300000000000001,0.005513415064477998
0.6400000000000001,0.005610358744396432
0.6500000000000001,0.0057035999829567465
0.6600000000000001,0.005691808386897185
0.6700000000000002,0.005523877450947755
0.6800000000000002,0.005198773430267033
0.6900000000000002,0.004757075894901426
0.7000000000000002,0.004264877600499304
0.7100000000000002,0.003793106746585754
0.7200000000000002,0.0033977696251983975
0.7300000000000002,0.00310647159866752
0.7400000000000002,0.0029142186386555617
0.7500000000000002,0.0027917756262903462
0.7600000000000002,0.002704945531843442
0.7700000000000002,0.0026337884826049536
0.7800000000000002,0.0025788020564487166
0.7900000000000003,0.002550073178986935
0.8000000000000003,0.002549102464706999
0.8100000000000003,0.002560099062033424
0.8200000000000003,0.002556726586870101
0.8300000000000003,0.002515314438040431
0.8400000000000003,0.002425176040423808
0.8500000000000003,0.0022927225661935934
0.8600000000000003,0.002139235058706806
0.8700000000000003,0.0019925646211613143
0.8800000000000003,0.0018759517023833102
0.8900000000000003,0.0017986028436415874
0.9000000000000004,0.0017536903287164527
0.9100000000000004,0.0017240217959630993
0.9200000000000004,0.0016911355526464898
0.9300000000000004,0.0016424410339087728
0.9400000000000004,0.0015747866162536327
0.9500000000000004,0.0014948527148126761
0.9600000000000004,0.0014167003317355556
0.9700000000000004,0.001356514747026218
0.9800000000000004,0.0013259104695472592
0.9900000000000004,0.001326767414025206
