alpha,delta
0.5,0.0931269294316315
0.51,0.09127037457076478
0.52,0.08937278224383637
0.53,0.08750924902009721
0.54,0.0857524823746103
0.55,0.08415125657197368
0.56,0.08271854410669532
0.5700000000000001,0.08142956855183447
0.5800000000000001,0.08022585993022603
0.5900000000000001,0.07903362840811189
0.6000000000000001,0.07779685779969374
0.6100000000000001,0.07650360146284058
0.6200000000000001,0.07518573594747986
0.6300000000000001,0.07388732859762666
0.6400000000000001,0.0726135719456346
0.6500000000000001,0.07129443515455933
0.6600000000000001,0.06980236006705318
0.6700000000000002,0.06802963456315071
0.6800000000000002,0.06597090662381648
0.6900000000000002,0.06374207424154205
0.7000000000000002,0.06153218713789567
0.7100000000000002,0.05954605371025097
0.7200000000000002,0.05798826749927125
0.7300000000000002,0.05708488384091573
0.7400000000000002,0.05705354716095341
0.7500000000000002,0.057963981032505975
0.7600000000000002,0.05958900588682688
0.7700000000000002,0.06143943390266186
0.7800000000000002,0.06297812740832219
0.7900000000000003,0.0637597796292994
0.8000000000000003,0.06340527762997425
0.8100000000000003,0.061359940214062665
0.8200000000000003,0.056373574356788726
0.8300000000000003,0.047423526225776606
0.8400000000000003,0.035606644672191094
0.8500000000000003,0.02339189026741435
0.8600000000000003,0.014227579106641573
0.8700000000000003,0.010796539230816813
0.8800000000000003,0.01068709365432255
0.8900000000000003,0.01059787342148914
0.9000000000000004,0.010245654895474911
0.9100000000000004,0.009651692320429698
0.9200000000000004,0.008591414750327361
0.9300000000000004,0.00710622619843997
0.9400000000000004,0.005915274921349767
0.9500000000000004,0.00491437249776664
0.9600000000000004,0.00399293006449455
0.9700000000000004,0.005886969193443539
0.9800000000000004,0.008373509569324747
0.9900000000000004,0.00966065615366659
