m,delta
20,0.46942368188449657
21,0.3934059938130683
22,0.46518584854564016
23,0.4784332972881723
24,0.31305527779966436
25,0.1736959387207473
26,0.15137438970348976
27,0.12927679239720258
28,0.12030396534195202
29,0.12526476664325062
30,0.1420207540862728
31,0.1725198620815091
32,0.20655109909306676
33,0.22983642928765524
34,0.24335899661143118
35,0.25091768753332944
36,0.254141474972043
37,0.2507857782343446
38,0.2409054429010909
39,0.2240224214145865
40,0.20007988800110874
41,0.17150860996545308
42,0.14122633569578086
43,0.11172189827232584
44,0.08513589757511274
45,0.06578609028382318
46,0.06171117056377634
47,0.07473624055903329
48,0.09698081533528975
49,0.12273271358624975
50,0.14610164957110824
51,0.16164742430168969
52,0.166259335844868
53,0.16275790138729973
54,0.15457233032935122
55,0.13980534881955137
56,0.12008095798167455
57,0.09626192668919027
58,0.07066781966418972
59,0.056230221247859334
60,0.03553872506396597
61,0.0216509610723974
62,0.02013237199019181
63,0.019249340864316608
64,0.01777481616180822
65,0.017305672021453816
66,0.0173883422687043
67,0.017300623194776887
68,0.017116806555132646
69,0.016965678259924646
70,0.016257052621279976
71,0.015074534309311358
72,0.014291922083202414
73,0.014186063657275903
74,0.014177649211723778
75,0.013671327283823325
76,0.01241818085451078
77,0.010554452933665748
78,0.0085839616403173
79,0.006931642151347017
80,0.005683438085082095
81,0.0047416032235731214
82,0.004013041062128495
83,0.0034764914774369432
84,0.003122515523552791
85,0.0029059393404424214
86,0.002779939150732884
87,0.0026922366843422836
88,0.0025831542759235547
89,0.0024261402969919235
90,0.0022339338841267866
91,0.0020307364271103445
92,0.0018368982009451783
93,0.0016676428825657705
94,0.0015332254483272343
95,0.0014397471776972188
96,0.0013899049027588145
97,0.001383366756753213
98,0.0014155436669477017
99,0.0014781314646640938
100,0.001564161782895538
101,0.0016718897377159308
102,0.001799727032283997
103,0.001937144834135617
104,0.0020633835610161925
105,0.002159778886465319
106,0.0022180456947552734
107,0.0022404153846948614
108,0.0022361979074167976
109,0.002217202908344394
110,0.002194495653852418
111,0.0021750393486445288
112,0.002160992228527592
113,0.00215174357530089
114,0.00214581246781538
115,0.0021418233266475087
116,0.0021391141858979747
117,0.002137173013669031
118,0.0021358276101747366
119,0.0021345788539479465
120,0.002133050687279305
121,0.0021311073851986813
122,0.0021287555310105784
123,0.0021262649371645887
124,0.0021240370230995705
125,0.002122320501991975
126,0.002121116849053648
127,0.0021202746308549864
128,0.0021195779931565497
129,0.0021189495708131903
130,0.0021184473639241598
131,0.002118092969554959
132,0.0021179167109042
133,0.002117863490544307
134,0.0021180496939803392
135,0.0021186022251960873
136,0.002119678324132999
137,0.002121468837736724
138,0.002124011529725846
139,0.0021272544027410873
140,0.0021306728522210595
141,0.002133541376159746
142,0.0021352439528828735
143,0.0021357017813313384
