m,delta
20,4.194705059491041
21,14.860452604266076
22,21.186327316684622
23,5.813760768139735
24,7.671768091611542
25,12.821640228074138
26,9.865321654807486
27,9.379504477811484
28,4.747543926295495
29,6.669827872608596
30,3.5646337459307036
31,10.783147108627873
32,7.603018038217584
33,8.014618278005717
34,12.982861374640724
35,7.157425451692848
36,5.240912716650883
37,5.282260144397428
38,6.043311652439198
39,9.42309514284371
40,8.232793991646284
41,28.534283194351552
42,12.068315509506915
43,4.988371454161948
44,3.068829652005308
45,2.7416032283238296
46,2.514563549201545
47,2.5261248767815507
48,2.4292301381475747
49,3.7402933939603615
50,5.08686903863016
51,3.1256792031030165
52,52.110742084401416
53,5.951102455495852
54,4.130534278197496
55,3.468134621687343
56,3.7183203365865323
57,4.795189202032889
58,9.187953208786418
59,3.7016440042632333
60,3.3840479957632397
61,7.14244444493315
62,5.01055896383256
63,2.671585319277525
64,4.706179838992906
65,7.833104710689959
66,3.9856108129463816
67,3.49326652953463
68,3.877335931685942
69,3.434904667520392
70,2.6332008531567306
71,4.8120510710952225
72,16.454762213904438
73,11.069524948692957
74,3.3607110559952416
75,6.080092595082641
76,4.024606393379911
77,19.887982352639245
78,7.7986911727875645
79,5.167068217963343
80,4.218386884272808
81,3.25712973506574
82,4.385316671996174
83,3.9432841594054606
84,5.332861162644749
85,4.8266574940213465
86,5.604286814381034
87,56.68009683030179
88,8.465002454509877
89,7.461973007274463
90,9.985025968886685
91,59.436092566369524
92,20.92612380645178
93,74.90129529640079
94,3.312084091092887
95,4.800074523320885
96,4.959703277020181
97,3.907826158790611
98,5.696985674704409
99,3.6656641215477843
100,78.14109553840812
101,4.431591424552787
102,3.657966731218488
103,7.15729661811902
104,27.21716087749355
105,350.64189666493473
106,5.417182768722626
107,91.91906472836001
108,5.152219472035059
109,6.329502599443811
110,4.322232954711331
111,5.235419719085732
112,7.9706312505482995
113,25.085349588378605
114,7.148371524943416
115,25.01742995451141
116,4.649795571899287
117,34.01878216119849
118,3.8327750972162526
119,64.13154274678466
120,9.16876489520308
121,9.71366938329608
122,3.9693598993158106
123,30.6078324099321
124,7.607545439624949
125,6.061642838352276
126,14.674764092725017
127,24.4778096752177
128,3.9741187639853255
129,6.096272767216657
130,5.784899597219262
131,3.868928135143101
132,12.829956672012578
133,6.621002792009156
134,7.206378339481574
135,6.886396246086199
136,36.46163414993154
137,187.01217348078177
138,6.062009188095585
139,127.4369016687372
140,1088.4730295403583
141,20.160111865526265
142,30.316828425709176
143,172.64317360402256
144,10.347929803100252
145,5.829374054840749
146,12.947300930154336
147,16.98339282473421
148,6.087901341733288
149,29.38716740444213
150,595.0332855710825
151,7.91202436383756
152,17.803931217134345
153,10.375143698257892
154,8.52772762814963
155,50.9172107375953
156,7.241331273916794
157,7.588328888792344
158,7.3759687973364505
159,10.448986233507911
160,11.889490759551697
161,19.59661376831755
162,31.21179938659696
163,8.498510454720506
164,10.71629704719282
165,11.533513182588205
166,11.896214042200626
167,14.708983431171626
168,14.395122668788932
169,8.48166994694227
170,13.214050144816941
171,19.56966006925909
172,11.4906196171616
173,25.957287619824445
174,13.928123293114604
175,9.437554397675495
176,10.902402738502522
177,10.024843969352595
178,10.813256131940362
179,9.459728451930733
180,8.60493187031034
181,11.067840437417317
182,9.24455949272845
183,12.575453023465942
184,9.32800890496171
185,13.249101152370473
186,8.218138565142473
187,17.523663846742085
188,10.810479735843014
189,11.121950095865078
190,9.400711233411172
191,11.674354588186187
192,10.131790613022911
193,15.07617818775762
194,23.09522752417303
195,9.033630002095341
196,9.337086851356647
197,59.73079643048446
198,9.918735583043457
199,9.392649665959954
200,9.300180270308633
201,12.640657940658315
202,10.28070212410908
203,9.36484457548755
204,2360.989625062996
205,23.903360448302674
206,13.622870238589066
207,9.883808013697065
208,8.72999886778059
209,12.9158906437909
210,513.7520736092233
211,10.787232839747702
212,8.850805122663852
213,10.28240318250365
214,9.82687097585388
215,43.364607456189404
216,9.783857687369904
217,7.8869436180373755
218,10.11834438334867
219,17.414403002592987
220,31.054169844902336
221,7.625935609265884
222,555.4020448127164
223,8.200521332075983
224,32.79000422169736
225,12.915280132849626
226,9.241274037174698
227,108.0886957011877
228,10.281759027723417
229,22.920444344333536
230,13.35485384628953
231,8.6490319751566
232,17.18975381485616
233,12.870025514757634
234,18.001069066147416
235,24.653864432422637
236,51.04067874865493
237,8.976800524580998
238,9.162793311676909
239,9.61222238446254
240,14.58959541504616
241,19.147651331532412
242,10.615473463358041
243,11.599685378005468
244,8.999979655017185
245,21.395029574321097
246,14.580748187153201
247,20.340936539103318
248,15.320754969306257
249,14.48808664943452
250,21.03295978893534
251,15.341166498010459
252,26.94783070338178
253,11.246526497226736
254,15.345726410022447
255,11.700078004758218
256,9.248230873197029
257,8.564631493347143
258,8.86684231750895
259,9.772064590581362
260,26.982033262228647
261,10.349021771262498
262,12.335533766512143
263,11.126737723422146
264,10.908662259202018
265,11.736019378171596
266,17.94707392222364
267,8.225059832628844
268,10.50950720371017
269,12.680203363229204
270,9.382475172212041
271,27.30657339750994
272,8.851564094422477
273,12.777465225071253
274,11.032308475018688
275,9.074093783851222
276,22.129579379666847
277,18.569854074574504
278,14.404498919019083
279,10.34781421456311
280,16.20429858020605
281,17.722202065651928
282,9.362282797551584
283,10.896018810090416
284,19.364611335785256
285,8.920489784151263
286,12.054747155549927
287,11.811083853028496
288,19.545631861919325
289,16.57783465119037
290,12.78751186929657
291,20.83108094959336
292,8.603491610890575
293,59.558831785551256
294,201.4170011667761
295,14.45492262279411
296,8.20567945466415
297,17.521555408067183
298,14.132737130724468
299,14.0698595049301
300,8.288351175824893
301,10.670324556234416
302,13.51767998066717
303,9.706476798802738
304,14.459324174464362
305,198.87324047960746
306,14.841233529625718
307,15.216829278684948
308,8.833856751262623
309,8.52940119702022
310,14.076137010077138
311,8.146021293036432
312,12.235990066611405
313,11.766666679665681
314,9.23730552110616
315,38.99728632148098
316,10.457909120590612
317,8.9630125264509
318,20.927324011891468
319,10.160977860730856
320,10.896646669190066
321,14.731719545626294
322,14.885245945593343
323,53.89776088938294
324,15.826280800338338
325,46.5282827301721
326,17.34289191958856
327,8.893535859139082
328,11.307154438995706
329,14.14338472751501
330,17.236184377600992
331,10.010321345337745
332,16.388289786042684
333,26.863660113438495
334,11.004597300209172
335,84.17548573661026
336,15.088953768682513
337,89.45812365691364
338,11.537896437116537
339,15.2830803535514
340,17.056713865475558
341,8.485598907220895
342,99.57588781700994
343,8.740764502649975
344,13.871082895787788
345,29.18550949866487
346,8.476447767915817
347,8.920035237616137
348,12.911760443912774
349,10.43590452656259
350,11.588060123733431
351,7.981725525077386
352,8.827825387107403
353,348.7018270648829
354,9.903444447694906
355,35.09799718338318
356,7.547836927768977
357,9.901023374915228
358,11.617513638497243
359,45.023307991789025
360,9.183054699128002
361,24.570482488364494
362,8.172178356895344
363,9.008810075553978
364,7.69844089803717
365,38.773101604369415
366,111.35415889888647
367,10.11923454684828
368,39.25265715083848
369,11.571450512217103
370,9.836275868892509
371,32.71857253840526
372,13.487332625818954
373,12.375983177042952
374,11.412329912199159
375,7.67803992522623
376,16.121433933453396
377,9.511828579188172
378,8.383749056197761
379,918.5595356484971
380,9.883961156336374
381,12.417682587657616
382,8.263287409204638
383,8.252729005683275
384,7.902913234645327
385,8.618722528284861
386,10.915082257556259
387,11.501502122756264
388,8.249179517120314
389,25.455464906379824
390,8.355526578470256
391,9.040776559334276
392,26.552127926035094
393,9.344104673809197
394,9.196079056962905
395,37.913532320381265
396,62.47099246340037
397,12.973161034706811
398,11.347322746400692
399,9.841589797709775
400,201.18166834098932
401,48.49562119755723
402,9.448172575915327
403,14.228475682310798
404,11.273032716685817
405,7.9826341242298
406,11.556428136474729
407,10.069695291993666
408,8.077492245609506
409,9.376104670927678
410,8.31987898307847
411,16.917549761078256
412,10.17910761113704
413,7.778839690614625
414,19.890817477001978
415,13.804115595428584
416,15.309881978763395
417,31.180465912320663
418,14.364074772637219
419,12.563887675277433
420,10.57202129875377
421,40.95343953968063
422,17.29482715155973
423,11.334086716573589
424,13.603531336395708
425,9.275883604283873
426,58.262148108701346
427,11.507573256775302
428,8.152121322215116
429,12.214676589070509
430,54.20866053054033
431,8.659586571873279
432,9.328515877000937
433,9.883490597144004
434,9.247169824124464
435,8.216134462291654
436,8.892619508280784
437,9.37396524731746
438,9.534589292778554
439,19.31284177050153
440,10.001493619356724
441,9.882466126849307
442,8.038816473005905
443,11.902358197457945
444,29.53581153422574
445,24.652443476145667
446,8.537861296333514
447,13.96977425843513
448,18.65798082301126
449,17.109219222728846
450,7.826550494303442
451,18.30645975205484
452,10.513064618768487
453,8.79247865220564
454,9.348779212811959
455,26.23137558940228
456,173.7951083214459
457,9.784635743976718
458,33.656159121420245
459,7.932810341738541
460,8.933192121543467
461,8.322326103224587
462,10.213541346919722
463,10.583610874845016
464,26.360853272040966
465,9.908199522748276
466,9.674748328869965
467,7.7101087833210675
468,10.061125995036537
469,10.039588309958821
470,9.2816102343124
471,9.139323173582024
472,17.512323708553378
473,9.662876031267283
474,15.879944216766729
475,14.64289750008999
