m,delta
20,0.002754026138846302
21,0.002428752339946121
22,0.002232070773446336
23,0.0021393845747337986
24,0.0021195614630175556
25,0.002148335428406327
26,0.0022103866126663625
27,0.0022940353025279196
28,0.0023866835126738904
29,0.0024750770242494354
30,0.0025491051321891948
31,0.00260462948069436
32,0.002643031714279466
33,0.002668653595769313
34,0.0026863108605887235
35,0.0026997725400231347
36,0.002711338226231962
37,0.0027220856176069065
38,0.0027324678669148426
39,0.002742775739414861
40,0.0027532898243593814
41,0.0027642287136234464
42,0.002775659226228653
43,0.002787481093532149
44,0.0027994771068087514
45,0.0028114114412760255
46,0.0028230448245920147
47,0.002834189611815725
48,0.0028446897387537713
49,0.0028544121022778847
50,0.002863236731649434
51,0.0028710679836750678
52,0.0028778329853125124
53,0.0028834943264589782
54,0.002888065203061417
55,0.002891594554862143
56,0.0028941886448208038
57,0.002895990728949852
58,0.002897148637323492
59,0.0028978331658261846
60,0.002898183001103787
61,0.0028983292187900202
62,0.0028983542882377827
63,0.002898331061576425
64,0.0028982932507856866
65,0.002898258694986429
66,0.0028982318445995273
67,0.0028982172049013184
68,0.0028982110285137195
69,0.002898209816170001
70,0.002898207485131133
71,0.0028982145061335076
72,0.002898208283171222
73,0.002898206405670645
74,0.0028982057911565843
75,0.0028982045861405824
76,0.002898202919878653
77,0.0028981990642780254
78,0.002898194047902068
79,0.002898196345406901
80,0.002898196949388347
81,0.0028981971833447603
82,0.0028981984219856195
83,0.002898198108349705
84,0.002898198913906456
85,0.002898198974056231
86,0.002898200347864867
87,0.002898199190676619
88,0.002898199565512081
89,0.0028981984939422736
90,0.002898197999126745
91,0.002898199705948192
92,0.0028981993275112457
93,0.0028982005085292934
94,0.002898196752615519
95,0.0028981955472347186
96,0.002898197237779021
97,0.002898197248822765
98,0.002898191731928163
99,0.0028981945508958586
100,0.0028981980556400536
101,0.0028981993130045946
102,0.0028981971262590066
103,0.0028981996868579787
104,0.0028981948522655747
105,0.002898198419371534
106,0.002898197959375024
107,0.0028981981368465005
108,0.002898195899860925
109,0.0028981967287951904
110,0.0028981964669695243
111,0.0028981994466820466
112,0.002898196768197181
113,0.0028981982309515455
114,0.0028981976002396205
115,0.0028981983159541563
116,0.002898199760812012
117,0.0028981971369604737
118,0.002898198607475873
119,0.002898197531222887
120,0.002898197179406945
121,0.0028981984009094244
122,0.002898198760671988
123,0.002898197035410487
124,0.0028981971687826306
125,0.002898198469151206
126,0.002898198099677294
127,0.002898195919723771
128,0.0028981985712371442
129,0.0028981982440562507
130,0.0028981971018823566
131,0.002898195927178248
132,0.002898197158742465
133,0.002898198199789166
134,0.0028981985233322324
135,0.00289819595129399
136,0.002898194707980652
137,0.0028982000583118667
138,0.002898197288185395
139,0.0028981969735496944
140,0.002898195796177696
141,0.0028981969147137314
142,0.002898200227633535
143,0.0028981961057181556
144,0.0028981963068612777
145,0.0028981982008327556
146,0.00289819894965827
147,0.0028981984482279602
148,0.002898197672635391
149,0.0028981967847522476
150,0.0028981994522351245
151,0.0028981968567339126
152,0.0028981955794581036
153,0.0028981986762919034
154,0.002898198807626211
155,0.0028981987747061302
156,0.0028981968125736304
157,0.002898196852733035
158,0.002898199685936714
159,0.002898196814139674
160,0.0028981955803065013
161,0.002898198676299501
162,0.0028981988075998943
163,0.0028981967187174367
164,0.002898198329221764
165,0.0028981958257712093
166,0.0028981993436383705
167,0.0028981960378288586
168,0.0028981980796215475
169,0.002898196568813819
170,0.00289819958216939
171,0.0028981992021655505
172,0.002898195736097412
173,0.002898198216700268
174,0.0028981963113943127
175,0.0028981967187174367
176,0.0028981983289820728
177,0.0028981958257712093
178,0.0028981993435823823
179,0.0028981960370474736
180,0.00289819807960862
181,0.0028981965688042307
182,0.00289819958216939
183,0.0028981992030227537
184,0.0028981957380010757
185,0.002898198216699649
186,0.002898196311394555
187,0.0028981967187174367
188,0.0028981983289809755
189,0.002898195825763324
190,0.0028981993435823823
191,0.0028981960370474736
192,0.00289819807960862
193,0.0028981965688042307
194,0.00289819958216939
195,0.0028981992030047907
196,0.002898195737998846
197,0.002898198216699649
198,0.002898196311385641
199,0.002898196718725848
200,0.0028981983289820728
201,0.0028981958257712093
202,0.0028981993435823823
203,0.0028981960370458673
204,0.0028981980796309115
205,0.0028981965688042307
206,0.00289819958216939
207,0.0028981992030047907
208,0.002898195737998846
209,0.002898198214538354
210,0.002898196311394555
211,0.0028981967187174367
212,0.0028981983289820728
213,0.0028981958257712093
214,0.0028981993418207724
215,0.0028981960370474736
216,0.00289819807960862
217,0.0028981965688042307
