m,delta
20,7.530146145134261
21,24.44341589176646
22,44.55609813053271
23,4.842852177895657
24,5.188717130674987
25,6.168212073800659
26,12.671280871048241
27,8.57339448927028
28,9.794455276396087
29,7.1051963498609165
30,5.182776908151666
31,7.9018416846266515
32,5.272982408631617
33,15.926476263649455
34,4.852113865131869
35,6.425034311220315
36,4.484120032177211
37,5.052489747417837
38,5.596420601818813
39,7.129948833578193
40,4.732634452144175
41,15.335854076899253
42,7.717615159336212
43,3.4308450906518106
44,2.7896028547661684
45,3.294676948422843
46,3.3270715925043524
47,3.1874585573077563
48,3.0917178076192595
49,3.467761436084823
50,2.7601802011992356
51,3.4818370042754743
52,10.228843928187684
53,4.512920670554926
54,8.905156935081886
55,4.8833365675360145
56,4.064402486065142
57,10.183952091106136
58,4.06025509709365
59,3.7262890849832733
60,3.5771336631606716
61,5.381130612513384
62,6.994572068905162
63,8.14046081774253
64,6.248611162064081
65,2.6076486365191145
66,2.9925619255699965
67,4.2126738587784684
68,3.9527507791050978
69,3.055476705268358
70,3.4050517489392322
71,6.393434249564599
72,5.885632684583959
73,6.698880536480192
74,4.96992212495565
75,6.580415338164706
76,6.616712555458329
77,37.138903393974566
78,60.26380096876902
79,4.821576208226548
80,8.390934146303197
81,5.145025887912696
82,5.125895972855179
83,8.046236654686146
84,74.46363355050785
85,11.141911554497192
86,10.86491054900008
87,48.14404976758236
88,10.816927939441452
89,10.15614424168033
90,6.817318230838941
91,53.141108661136464
92,75.88891253461925
93,127.13182224803951
94,18.53730225585052
95,22.5957253419228
96,21.09017508907963
97,23.29553303716512
98,22.812494577979997
99,20.113786444362216
100,61.100130438800825
101,20.78912559985609
102,12.01792462114074
103,17.772747090806806
104,36.83505104219837
105,674.7388771844336
106,35.11512090874826
107,203.07308632652362
108,36.66124279444728
109,15.455194815470039
110,24.705800565235794
111,26.057170750916292
112,37.55848980189153
113,9.220306946887975
114,25.975441549660268
115,40.06838077892124
116,27.64792981355466
117,9.159302176781035
118,9.285554216121923
119,22.02962032674563
120,38.77064268504529
121,26.417865215110755
122,27.717642213101687
123,79.52694560737935
124,23.774861281776847
125,25.839536884410172
126,57.32510396564678
127,15.807783316256602
128,33.40136260439627
129,34.312794157762
130,15.148391559833767
131,32.95671100117272
132,45.91791962181695
133,36.29760620055804
134,28.32894255854556
135,21.682394114617136
136,27.137229999030207
137,89.32802944162518
138,25.685650607903707
139,72.43582386063878
140,261.55234550619707
141,29.41191313124875
142,29.580415650623447
143,41.70377605697735
144,28.933692769685045
145,22.859405795063697
146,15.920947823201383
147,14.024159586581273
148,29.791309094904488
149,24.501195336041647
150,361.2638246606312
151,27.055009683353653
152,46.5911302783126
153,39.465201622380285
154,44.44432787696483
155,51.02931530251904
156,29.54352034194403
157,29.44812093385317
158,28.84840494026216
159,27.120103455575464
160,27.662560981068708
161,32.25997530836182
162,28.735308103290937
163,23.359774150768107
164,28.12612109713051
165,21.473000806031816
166,26.25788489201744
167,42.857262310818015
168,29.452772758194214
169,14.695102830757447
170,23.5138294274639
171,65.72771464137146
172,27.04364934744427
173,22.825769098971932
174,29.046428026975814
175,16.82457250767169
176,40.54625429273995
177,32.156424051887704
178,38.27559252869252
179,23.268496772042138
180,24.629753096209758
181,28.37151780501669
182,24.493358824713273
183,34.64787276074537
184,24.93772026851584
185,28.539733990474105
186,22.174739917936808
187,19.44913144572998
188,18.434600933901997
189,67.09590124455825
190,24.134282962511914
191,29.886417045156414
192,20.803683885723157
193,17.409277563485325
194,16.780908774309317
195,17.42753229307989
196,24.148966279312944
197,58.953750344044664
198,24.923720213733212
199,18.839445218720154
200,29.297845737473054
201,29.942893016351107
202,41.958958006313054
203,24.140766516160507
204,1041.8808987849277
205,30.536397926079623
206,28.488175883160054
207,34.200296538143995
208,27.778644722010004
209,37.893403389681
210,256.01146588337883
211,36.92122769592794
212,30.323976839786567
213,33.21374222287145
214,50.71704602862896
215,50.755397942726916
216,33.5592477302446
217,34.49039282246563
218,27.665367054884115
219,46.42661161776156
220,27.53170454407421
221,61.85102320236677
222,82.1992104997067
223,43.33949542200494
224,34.59386024459971
225,42.41422539595465
226,32.234184877283035
227,27.083041180714833
228,37.31624752914808
229,37.85364436199145
230,40.995279894367656
231,35.83272780966515
232,56.460721650858986
233,35.525548262803746
234,27.24812528802586
235,104.04722163370977
236,53.45455173392143
237,44.58651671480038
238,36.71368412976623
239,38.30393776529921
240,43.38968232854628
241,48.44787960876466
242,42.14652006332735
243,27.804000374270412
244,38.06381798566673
245,26.862411199042654
246,43.97866327219185
247,45.79889124794186
248,75.58177757794694
249,49.127545265899556
250,51.09125812278911
251,41.97467340578894
252,40.10002767058188
253,30.36305687181023
254,38.80767262206557
255,41.0012758928595
256,41.77863468856933
257,44.99696916782816
258,30.236797810234957
259,32.48055246777043
260,78.65550452962006
261,39.935240915755536
262,38.96327182980494
263,74.81840175941785
264,43.998580995278544
265,33.187499852651996
266,54.838524177266784
267,93.21216028552497
268,40.11652564735584
269,39.789429371305886
270,34.241543240444315
271,70.4989944402432
272,39.64424513543912
273,40.16429738926991
274,30.658327282191532
275,43.43331596164306
276,35.916631592637096
277,56.77584689683554
278,40.15624073925668
279,41.735837072664815
280,43.2471173140102
281,34.97888856816632
282,40.751094303902136
283,40.76761726637467
284,42.17915930761563
285,47.15363079458802
286,41.92674642607927
287,41.55635768204177
288,30.008390950597878
289,33.8699661676266
290,41.231662901046604
291,70.62376983157033
292,38.14413889528053
293,48.1968139554746
294,83.59428531619345
295,43.83413378286269
296,40.59682037434636
297,48.302043874871764
298,57.811039140642876
299,62.76042766282787
300,36.72648644465438
301,43.25757744170398
302,32.046807676788596
303,41.94286327524302
304,34.816653687687676
305,120.18734172532379
306,44.6054197025965
307,48.018680546673394
308,36.1934993154983
309,33.922660940547665
310,54.48145127182529
311,37.37978322269613
312,36.13649187966883
313,38.53772031691373
314,35.219467674046804
315,74.19193635135369
316,33.2796638855449
317,49.99879336518469
318,47.848649220044145
319,36.80228845096355
320,41.53430587918737
321,44.7974568638785
322,27.046018470723528
323,36.42932923798014
324,33.353437305965564
325,56.12675901887592
326,29.509251140897696
327,38.69352319814593
328,37.34732583160293
329,37.31226374941657
330,37.73937772256147
331,32.6262124823405
332,36.83287214814617
333,31.463850658464622
334,34.87695774404814
335,54.980865507252595
336,36.967922730825705
337,31.932009105200187
338,35.23840103051044
339,37.22746597575902
340,40.92700246045024
341,36.66881912458001
342,99.04148424169232
343,37.51117756026306
344,34.99181209987003
345,36.039608244009464
346,38.627466049262445
347,42.47335958997298
348,37.43004188051856
349,42.10596931390027
350,40.031018638870954
351,44.76369388386925
352,33.3003482372127
353,164.7614337868952
354,38.512142779373285
355,36.10285191368117
356,44.209600722332915
357,41.86164588385478
358,50.43363029129817
359,63.03043120368147
360,37.91519492417405
361,41.4255148405205
362,33.56493288745597
363,32.160039917369275
364,37.969117981370154
365,37.50333363187895
366,121.65776029216256
367,45.0645900798379
368,49.69589047754945
369,37.87022585140758
370,27.561575897637532
371,67.77140374330591
372,38.9364989446876
373,37.21205951509671
374,56.11003497387594
375,36.964335653554215
376,42.56559609242602
377,31.855996418250918
378,45.423500965429405
379,386.8883782506671
380,40.98838366171052
381,30.97558483956393
382,34.92837029941686
383,35.07280439568816
384,38.62379887849402
385,41.256792411823895
386,39.87192301986622
387,40.80319795553511
388,41.640090037502915
389,37.92237800604345
390,34.757899962632436
391,37.73581920359231
392,42.07469087278309
393,44.89619133751589
394,38.189481516112195
395,41.4234098264645
396,94.02568463813209
397,35.482737254344286
398,37.98154606301406
399,40.377632956860175
400,579.9819570613447
401,38.82379029631699
402,34.21401857012345
403,42.823864873600975
404,36.66833487532649
405,38.672746196982665
406,34.45971709587351
407,34.18420099788815
408,28.31937073222757
409,40.84351143359109
410,35.980881246192794
411,30.9376359980433
412,38.01377213717147
413,43.15248159373013
414,39.698743267109926
415,34.21086950180268
416,39.29717830300655
417,41.072152893156904
418,36.08704081639826
419,41.884973548357586
420,39.120012790363525
421,115.05797670851395
422,30.70831904792269
423,51.037442980597454
424,31.904592097089704
425,32.496770408312706
426,46.47394029639436
427,37.92763980909177
428,40.8737388122707
429,35.25604661850803
430,58.34918340934385
431,40.389442970308416
432,39.62197166812772
433,37.886536905663014
434,35.73685459291724
435,38.194744363287874
436,41.0092107201148
437,40.74045698219532
438,42.20215144871391
439,36.26460060197094
440,41.11797594454198
441,37.12935771221102
442,36.72235284440158
443,49.89903830095433
444,83.82162745517022
445,26.14325714193984
446,39.68594556678745
447,39.592247048228515
448,37.049940905460986
449,38.11320079614652
450,40.01520381410229
451,47.18206307502928
452,37.62818628052636
453,60.98509947437309
454,36.7459272852456
455,33.79861292246172
456,42.43044586142654
457,33.13767957920222
458,35.07487741993116
459,37.923730417298934
460,35.98406615770844
461,34.969519504383406
462,36.55518656366975
463,44.14853848993812
464,62.41500848195442
465,40.08833116962767
466,32.704197938809656
467,45.10374941608101
468,41.933935186272336
469,28.070171330835908
470,39.982548096925605
471,36.360997264303265
472,45.65233917098589
473,48.72396849005259
474,38.37157555159384
475,35.333012503344214
476,30.140067200972428
477,39.520907704254896
478,40.81288748140924
479,37.2502470527072
480,42.163760588409396
481,37.726196889496556
482,160.427990143822
483,35.916779827790386
484,45.85044851232062
485,39.22425146425593
486,35.035900914422804
487,121.00599316878953
488,39.903970462237126
489,30.763432122459918
490,41.48486007236476
491,39.97451759857709
492,45.006634952474656
493,51.457988360610166
494,36.1563859211631
495,32.03429209799922
496,76.42051220165872
497,57.71134861313329
498,88.5247055180827
499,49.68726227941952
