m,delta
20,0.12316547231002288
21,0.119782027068045
22,0.11628939173864629
23,0.11202817060690395
24,0.10808103461408633
25,0.1047169304918246
26,0.10230067501792062
27,0.10032395983740915
28,0.09846151186989689
29,0.09650215310792896
30,0.09383535707341976
31,0.09031059756217306
32,0.0861752685086968
33,0.08179142158060652
34,0.07723319626653577
35,0.0728004276049847
36,0.06903169379340829
37,0.06623699671273224
38,0.06433539926958326
39,0.06309154451741318
40,0.06234122721700853
41,0.06193384217602438
42,0.06170055426083475
43,0.06179423440408373
44,0.06237675529914245
45,0.06347554168966707
46,0.06467701629781338
47,0.0658204874511381
48,0.06616853298285609
49,0.06352655465599934
50,0.057541325592057706
51,0.05119723142170218
52,0.04779847108482044
53,0.046678125935181385
54,0.045968159200415595
55,0.047791502782838155
56,0.04967238812163527
57,0.05356069042057268
58,0.06658363233359817
59,0.0687052022022963
60,0.0681601187942567
61,0.07546737660161199
62,0.08332039672959833
63,0.09032296060741148
64,0.08875328335648777
65,0.08461675069593555
66,0.08121312987674642
67,0.07836488110734952
68,0.07553651960815515
69,0.07268220346110399
70,0.0701366763970588
71,0.06825279605768696
72,0.06733720712724477
73,0.06770376563716665
74,0.06874655451956119
75,0.06905993059078991
76,0.06795638764415696
77,0.06552687282068739
78,0.062196225163662494
79,0.05850708278184535
80,0.05490112730686064
81,0.051612481403917276
82,0.048717458831770984
83,0.04618833184768595
84,0.043943738030660026
85,0.04189808122652471
86,0.03998696016287545
87,0.03820618828629959
88,0.03660490906596418
89,0.03521144120405117
90,0.034006310807206924
91,0.03294939063785263
92,0.032001794021360996
93,0.03113172006018334
94,0.0303136349729058
95,0.029526135196349012
96,0.028754382052976032
97,0.027997873596091415
98,0.027272237319144396
99,0.02659910017111028
100,0.025994770215469077
101,0.025465161961684645
102,0.0250040052643309
103,0.024592961227644636
104,0.024207463890027214
105,0.023830540836741014
106,0.023460722550656714
107,0.02310797169705298
108,0.02278510554444139
109,0.022503445817084418
110,0.02226970092847499
111,0.022084215860577322
112,0.021941672278779006
113,0.02183438080734004
114,0.021754588191274606
115,0.021695483608045605
116,0.021650354106816483
117,0.021612984845280663
118,0.02157855041991169
119,0.02154315703524934
120,0.021504419624677234
121,0.02146285837611341
122,0.021421489971448368
123,0.021384169950769052
124,0.021353903056368192
125,0.021333258341254362
126,0.02132368348245025
127,0.02132442167310189
128,0.02133173383023057
129,0.02133969669245226
130,0.02134362809643753
131,0.021341788028504987
132,0.021335342291023886
133,0.02132696206498972
134,0.02131925086819595
135,0.021315163583520758
136,0.021317587594316855
137,0.021328419976310572
138,0.021346751234979557
139,0.021369066194218772
140,0.02139053172054503
141,0.02140746138498997
142,0.02141847173707544
143,0.0214246258247532
144,0.0214275028469968
145,0.021428624214890574
146,0.021428864701734232
147,0.02142864663000834
148,0.02142808568748691
149,0.021427169839836675
150,0.021425994519394243
151,0.02142490041021571
152,0.02142407116650097
153,0.02142354469462746
154,0.02142342732266902
155,0.021423548530693188
156,0.021423823670268377
157,0.021424329732588173
158,0.021424732309085273
159,0.02142514394562254
160,0.0214254638341362
161,0.021425569430895616
162,0.021425502452416253
163,0.02142535588116502
164,0.021425148159182988
165,0.021424908196097256
166,0.021424683444238084
167,0.02142455781187514
168,0.021424492722846022
169,0.021424433907080973
170,0.021424408102577695
171,0.02142434160777587
172,0.021424396810833576
173,0.02142438016080199
174,0.021424407490469977
175,0.021424376246700044
176,0.02142436447679676
177,0.021424318471225594
178,0.02142436304681522
179,0.021424384619013897
180,0.02142439999231647
181,0.021424345331889288
182,0.021424368270803712
183,0.021424392840161715
184,0.0214243459364837
185,0.021424336510143593
186,0.02142438575817456
187,0.02142438949528512
188,0.021424275156836817
189,0.02142432019746286
190,0.021424325683412276
191,0.021424335026917495
192,0.021424305210391938
193,0.021424355607294165
194,0.021424353047712154
195,0.02142432425388162
196,0.021424392397998697
197,0.021424378831375636
198,0.021424393016438264
199,0.021424372616167493
200,0.021424393884704077
201,0.02142440117675602
202,0.02142435070550942
203,0.021424373961705136
204,0.0214243098514294
205,0.02142432862567467
206,0.021424348739244644
207,0.021424380813200184
208,0.021424379399871137
209,0.02142439651277459
210,0.02142425247756773
211,0.02142436013838914
212,0.021424357488706948
213,0.02142434357760021
214,0.021424379874180235
215,0.021424359649542785
216,0.021424348586010736
217,0.02142437738655456
218,0.021424349033832345
219,0.02142442295240193
220,0.02142436252807179
221,0.021424331856518816
222,0.0214243280836408
223,0.021424338093938834
224,0.021424364132588605
225,0.02142436280878348
226,0.021424344722802614
227,0.021424378481260237
228,0.021424367860951584
229,0.021424365935983052
230,0.021424411443146982
231,0.02142438447466009
232,0.021424370960411165
233,0.02142439427986233
234,0.021424359443997804
235,0.021424394758786824
236,0.021424380696144458
237,0.02142436074470279
238,0.021424360084672
239,0.021424327244903875
240,0.021424311008695372
241,0.021424342196824396
242,0.021424359953975097
243,0.021424329658009823
