m,delta
100,0.3102453812109531
105,0.27009575437438726
110,0.23445258013065604
115,0.2101836507201061
120,0.1957802185475306
125,0.18030963768426236
130,0.1715716983167611
135,0.15714618740458636
140,0.16267296648864485
145,0.14330292013042908
150,0.12773981239716198
155,0.11868680653976417
160,0.0988466551721656
165,0.0859258670698054
170,0.07145425317190257
175,0.06465206932932581
180,0.0670009812437618
185,0.07074420369253769
190,0.07218599760339264
195,0.07068195074744826
200,0.06678425738799879
205,0.06082199998982933
210,0.06229097624793101
215,0.05986133919762019
220,0.05499969369784144
225,0.05725313044373029
230,0.05153025808035684
235,0.049261958206303746
240,0.04323730449822922
245,0.04221058624312459
250,0.04846207820993178
255,0.06179048066672588
260,0.10443212937757783
265,0.1358352143664605
270,0.1112689105772449
275,0.12761838170988457
280,0.1316471771690462
285,0.1357333856076903
290,0.13301173841148256
295,0.18047423832946688
300,0.16014225734785822
305,0.14976148498287606
310,0.17796381140934556
315,0.14401263862451974
320,0.228412157231166
325,0.37702960324023976
330,0.3204582134570259
335,2.121310303055427
340,0.2963488541236043
345,0.420332132139945
350,0.10761003213965796
355,0.11652109430797863
360,0.10542100637630904
365,0.06380639263875396
370,0.1310485323097391
375,0.06480072231157297
380,0.09064176622120908
385,0.09487673753701352
390,0.10129235509515948
395,0.06791427820463379
400,0.04211997447189759
405,0.043416490252450625
410,0.059802147923264645
415,0.07807115151547651
420,0.08121295334808258
425,0.0691937266633876
430,0.08255911476641667
435,0.10188745875353752
440,0.15976403355193738
445,0.10149591192959795
450,0.13219959734450454
455,0.10225254836039956
460,0.14093166738236665
465,0.11820337530541536
470,0.18843577848296192
475,1.252891763073707
480,5.068598850766678
485,20.33736498470293
490,15.233594408862043
495,33.69653016835046
500,25.840009385170276
505,21.90564101115326
510,41.14947275716353
515,17.438366640742338
520,19.09406362407356
525,14.24167129993316
530,24.679256345867444
535,15.748844517985335
540,10.969627239405094
545,10.899477572355076
550,15.631552982938778
555,11.54343840823125
560,9.416843226203225
565,8.956617716088658
570,8.38035538668485
575,10.1502714975424
580,10.172715803751542
585,11.868181977909634
590,10.517576376036228
595,11.330076981005893
600,12.865374612603743
605,14.73657843094714
610,11.580283663023378
615,11.707168145204035
620,12.404748725426002
625,10.667416730195011
630,10.562651445037236
635,9.52673847370282
640,12.190683154381691
645,13.860103166678764
650,13.345074304011376
655,13.065110464303682
660,11.457551519767456
665,13.152238937919982
670,12.084512169126954
675,15.52313480485827
680,14.46291516888696
685,12.617463432268961
690,13.38641401046432
695,13.107257243094226
700,13.25110977532056
705,13.026349822590666
710,13.695364157944429
715,13.221920265060838
720,12.793992575923458
725,15.92619254857472
730,14.608426163245504
735,14.520587622722305
740,17.053069874206013
745,20.035837617882983
750,18.524621384979305
755,21.390563058841323
760,21.392816326526408
765,22.11148147012176
770,21.17290640739883
775,24.619632146755322
780,23.132209086370448
785,24.914543326592142
790,24.365250729204142
795,25.52288293836978
800,26.21326690696704
805,25.963169500300275
810,29.211637361408776
815,28.7355941865752
820,29.88475024873697
825,30.572553128986527
830,31.457843707352726
835,31.40869239076845
840,34.46568428335005
845,35.54114681280846
850,36.77219947372181
855,38.232594459035
860,38.30295950027766
865,40.76213245915998
870,40.85013693585592
875,41.91225477393178
880,44.73501809255994
885,46.05420835776724
890,46.15882645991043
895,47.816955376213976
900,47.25960908942198
905,48.437108999023444
910,48.3540292293158
915,49.643808685419465
920,51.108290323924564
925,51.656180138755104
930,51.078366880273954
935,52.622393592113184
940,52.28669115564553
945,54.24037044450634
950,54.21512825720492
955,55.00089372104
960,56.70049781884528
965,54.84265927660216
970,56.31639993993721
975,56.466118372657824
980,57.40780441251493
985,57.48736217419512
990,60.634888481968176
995,59.93821501441104
1000,62.444904866796065
1005,61.288779773347905
1010,60.74178165862809
1015,65.62855911061462
1020,63.82511708203267
1025,68.47809939761756
1030,67.29959574256108
1035,70.88429151587674
1040,75.36292741499746
1045,75.68604508713835
1050,75.54656252946933
1055,77.22668744348178
1060,85.01945831251896
1065,82.46678293491885
1070,85.23501113450196
1075,95.09288435386503
1080,92.34107273353065
1085,93.62960801432159
1090,96.89057644755638
1095,98.74985094996468
1100,106.59838427056195
1105,104.74381709500607
1110,107.48157277040193
1115,113.7162685202821
1120,112.49386122493789
1125,115.4102717451225
1130,113.04730616830669
1135,118.2903162837605
1140,120.15780454645235
1145,118.29734966389859
1150,122.61222878794189
1155,120.94861044506686
1160,122.2700181885589
1165,122.95462754216183
1170,124.94548228310315
1175,126.50627583144745
1180,124.04497364197226
1185,125.90256757482577
1190,126.11615110727548
1195,128.84518242828338
