M,m,alpha,delta,log_delta
2,50,0.5,0.025733135444581546,1.5895072941115187
2,50,0.55,0.050331819816850656,1.2981573667988016
2,50,0.6000000000000001,0.0061144271302238295,2.2136442264179204
2,50,0.6500000000000001,0.02045235421802787,1.6892566942555565
2,50,0.7000000000000002,0.01185701558382025,1.92602460933443
2,50,0.7500000000000002,0.053686004248871044,1.2701389185780843
2,50,0.8000000000000003,0.007264831768202268,2.138774438212123
2,50,0.8500000000000003,0.06084326507210315,1.2157874881635966
2,50,0.9000000000000004,0.029326295960978604,1.5327427868419103
2,50,0.9500000000000004,0.03026575890360573,1.5190484318285453
2,50,1.0000000000000004,0.06355368403610932,1.1968592694973856
2,70,0.5,0.025735876077689738,1.5894610432976122
2,70,0.55,0.1449330088229285,0.8388326917058373
2,70,0.6000000000000001,0.006229592214046755,2.2055403811073755
2,70,0.6500000000000001,0.00771558714097059,2.112631019389403
2,70,0.7000000000000002,0.009581753671575212,2.018554998208694
2,70,0.7500000000000002,0.017426365646405692,1.7587931776799808
2,70,0.8000000000000003,0.04062855465460163,1.3911686272600028
2,70,0.8500000000000003,0.0037651807840556714,2.424214166439944
2,70,0.9000000000000004,0.030663612087134095,1.5133766878015367
2,70,0.9500000000000004,0.015003102045269022,1.8238189368203506
2,70,1.0000000000000004,0.011174524138549259,1.9517709620128032
2,90,0.5,0.025665401135991882,1.5906519435681767
2,90,0.55,0.08164230555130259,1.0880847394524111
2,90,0.6000000000000001,0.0046717242745454865,2.3305227972263625
2,90,0.6500000000000001,0.004114266669378254,2.3857075625960515
2,90,0.7000000000000002,0.004829691217234465,2.3160806346600746
2,90,0.7500000000000002,0.09541301445225607,1.0203923829551789
2,90,0.8000000000000003,0.094004128230435,1.0268530737584918
2,90,0.8500000000000003,0.043445878648641946,1.362051415188748
2,90,0.9000000000000004,0.07291783355403589,1.1371662430546983
2,90,0.9500000000000004,0.016879151451669107,1.7726493900042435
2,90,1.0000000000000004,0.02367672482431811,1.6256783732793652
2,110,0.5,0.025851688092789576,1.5875110925914477
2,110,0.55,0.04212491802918866,1.375460931212728
2,110,0.6000000000000001,0.0065703398868330615,2.182412163597295
2,110,0.6500000000000001,0.03416141705009002,1.4664641226355373
2,110,0.7000000000000002,0.040920032656159504,1.388064028371798
2,110,0.7500000000000002,0.02531785210883395,1.5965731413422317
2,110,0.8000000000000003,0.023410332328425727,1.6305924211014517
2,110,0.8500000000000003,0.009019612514876292,2.044812119471997
2,110,0.9000000000000004,0.02132256780260865,1.6711604959235102
2,110,0.9500000000000004,0.02382120277303276,1.6230363140327744
2,110,1.0000000000000004,0.0033368089821255494,2.4766686541133422
2,130,0.5,0.025586651835352896,1.5919865403951392
2,130,0.55,0.11794752538967838,0.9283111664433411
2,130,0.6000000000000001,0.007903777055571683,2.1021653185343636
2,130,0.6500000000000001,0.010129270056779325,1.9944218499738644
2,130,0.7000000000000002,0.008150720403475475,2.088804004336427
2,130,0.7500000000000002,0.024097712804941822,1.6180241758206007
2,130,0.8000000000000003,0.03970690339095904,1.401133980794529
2,130,0.8500000000000003,0.009443824532798465,2.0248520907531287
2,130,0.9000000000000004,0.0020850098159542773,2.6808918960836325
2,130,0.9500000000000004,0.0027735176372765797,2.5569690680229176
2,130,1.0000000000000004,0.029273272699548505,1.5335287215053395
2,150,0.5,0.025628362149956,1.591279147696555
2,150,0.55,0.0195927363692005,1.7079049051459658
2,150,0.6000000000000001,0.005904872329973837,2.22878948788743
2,150,0.6500000000000001,0.015265773959529723,1.8162811725096237
2,150,0.7000000000000002,0.015223754906541242,1.8174782165493018
2,150,0.7500000000000002,0.06123769462593036,1.2129811672566455
2,150,0.8000000000000003,0.0008580473888851223,3.066488725947358
2,150,0.8500000000000003,0.019328224559668646,1.7138080372984896
2,150,0.9000000000000004,0.015463672476400575,1.8106873573239335
2,150,0.9500000000000004,0.007095025625629504,2.1490460316301307
2,150,1.0000000000000004,0.007504792760156013,2.124661296007433
2,170,0.5,0.025687998745597525,1.590269728649125
2,170,0.55,0.011124189696873472,1.9537316138744958
2,170,0.6000000000000001,0.01933875653079356,1.7135714542021507
2,170,0.6500000000000001,0.04271575787749556,1.3694118838323457
2,170,0.7000000000000002,0.016877794803534952,1.7726842974745112
2,170,0.7500000000000002,0.005434384558594193,2.2648496324315466
2,170,0.8000000000000003,0.022880424053564493,1.640535930822349
2,170,0.8500000000000003,0.02899345556665346,1.5377000204472135
2,170,0.9000000000000004,0.03810661716375985,1.4189996031123933
2,170,0.9500000000000004,0.006113108220234255,2.213737915835518
2,170,1.0000000000000004,0.004316602834959639,2.3648579083787853
2,190,0.5,0.025732674354273354,1.5895150759370567
2,190,0.55,0.06838886987354859,1.165014572926379
2,190,0.6000000000000001,0.03569499445149155,1.447392681213071
2,190,0.6500000000000001,0.002781580900231891,2.555708304404311
2,190,0.7000000000000002,0.0012131431227843062,2.9160879594230016
2,190,0.7500000000000002,0.027498711358055802,1.5606876575587716
2,190,0.8000000000000003,0.03716711702800839,1.4298411248710732
2,190,0.8500000000000003,0.0011751748514743274,2.9298975109403917
2,190,0.9000000000000004,0.016819870450413024,1.7741773535373593
2,190,0.9500000000000004,0.016154658722773604,1.7917022122908297
2,190,1.0000000000000004,0.006442644057625671,2.1909358618368264
2,210,0.5,0.02573043873965464,1.5895528084034705
2,210,0.55,0.01793991223073514,1.7461796860299788
2,210,0.6000000000000001,0.00472433966363434,2.3256588856692137
2,210,0.6500000000000001,0.0027264658491650824,2.564399937776186
2,210,0.7000000000000002,0.03287153113865738,1.4831800662383383
2,210,0.7500000000000002,0.004429373115160218,2.353657734700547
2,210,0.8000000000000003,0.010814800819096327,1.9659814747421291
2,210,0.8500000000000003,0.004888736145539503,2.3108034018092876
2,210,0.9000000000000004,0.0011781496425098059,2.9287995441933883
2,210,0.9500000000000004,0.006319377331036424,2.1993257120684477
2,210,1.0000000000000004,0.005484143242195987,2.2608912102496195
2,230,0.5,0.02568514866005954,1.5903179163302728
2,230,0.55,0.017496032428362483,1.757060425018097
2,230,0.6000000000000001,0.02022434171372015,1.6941256054265206
2,230,0.6500000000000001,0.009618279651115945,2.0169025999830574
2,230,0.7000000000000002,0.002645051591278298,2.577565852706691
2,230,0.7500000000000002,0.04093819048357064,1.387871357578935
2,230,0.8000000000000003,0.005106675118120708,2.291861770673048
2,230,0.8500000000000003,0.03658114025274313,1.4367427614687782
