M,m,alpha,delta,log_delta
2,50,0.5,0.00013497149090087765,3.8697579548528003
2,50,0.55,0.2890908545082228,0.5389656471720875
2,50,0.6000000000000001,0.00743457033591289,2.1287441254788235
2,50,0.6500000000000001,0.016392409470367974,1.7853572061136784
2,50,0.7000000000000002,0.0010364806900074277,2.984438784550669
2,50,0.7500000000000002,0.023618460838999752,1.626748407777091
2,50,0.8000000000000003,0.11442493987508948,0.9414793071018752
2,50,0.8500000000000003,0.10779572089957497,0.9673984787280119
2,50,0.9000000000000004,0.08599424811076513,1.065530596399404
2,50,0.9500000000000004,0.05101012197390052,1.2923436379954039
2,50,1.0000000000000004,0.02535414500646739,1.5959510301657638
2,70,0.5,0.00012989885091111558,3.8863946906911675
2,70,0.55,0.10687268122817728,0.9711332948671101
2,70,0.6000000000000001,0.024630422792993257,1.6085281332243146
2,70,0.6500000000000001,0.018669976913614057,1.7288562190780359
2,70,0.7000000000000002,0.0027975638242181953,2.5532199965995823
2,70,0.7500000000000002,0.06998423775139895,1.1549997632488636
2,70,0.8000000000000003,0.09425762791468163,1.0256834938839052
2,70,0.8500000000000003,0.09188249642854558,1.0367672136248878
2,70,0.9000000000000004,0.047577068018429716,1.322602325280083
2,70,0.9500000000000004,0.03728887126817621,1.4284207625068004
2,70,1.0000000000000004,0.03266208484844404,1.485956097331231
2,90,0.5,0.000277308747176417,3.5570364312135707
2,90,0.55,0.15496433691711084,0.8097682377147772
2,90,0.6000000000000001,0.009123957474987171,2.0398167475538123
2,90,0.6500000000000001,0.01290716921146005,1.8891689963584801
2,90,0.7000000000000002,0.003911079575405404,2.407703347738003
2,90,0.7500000000000002,0.040809090227801374,1.3892430870069246
2,90,0.8000000000000003,0.0464845683066513,1.3326911978965978
2,90,0.8500000000000003,0.06601932443487203,1.1803289240485484
2,90,0.9000000000000004,0.004856668288922012,2.3136615578838327
2,90,0.9500000000000004,0.051648410545863464,1.2869430391353056
2,90,1.0000000000000004,0.039666597362544284,1.4015750521109354
2,110,0.5,5.938615961548614e-05,4.226314758772989
2,110,0.55,0.22278475022781352,0.6521145402423684
2,110,0.6000000000000001,0.006160235582230039,2.2104026790521027
2,110,0.6500000000000001,0.17860952640394906,0.7480953810895109
2,110,0.7000000000000002,0.053763472256225686,1.2695126906048668
2,110,0.7500000000000002,0.015579504403259213,1.8074463617053758
2,110,0.8000000000000003,0.037352193271240584,1.4276838919039765
2,110,0.8500000000000003,0.06977337226324305,1.156310286338253
2,110,0.9000000000000004,0.002830745698186509,2.548099143999431
2,110,0.9500000000000004,0.007927718262629044,2.1008517923219365
2,110,1.0000000000000004,0.027951097788836973,1.5536011303796493
2,130,0.5,0.0001347366340408367,3.870514306291268
2,130,0.55,0.14704011726732194,0.8325641595996226
2,130,0.6000000000000001,0.0071137958715078485,2.147898600936807
2,130,0.6500000000000001,0.0027206809782393503,2.5653223797612035
2,130,0.7000000000000002,0.060493812319356084,1.2182890453969577
2,130,0.7500000000000002,0.06698217966073843,1.1740407242307727
2,130,0.8000000000000003,0.002005204088916457,2.697841418465505
2,130,0.8500000000000003,0.006776871714207239,2.1689707354517895
2,130,0.9000000000000004,0.010113625543625182,1.9950931301327641
2,130,0.9500000000000004,0.012449521042118184,1.9048473564209631
2,130,1.0000000000000004,0.02240207653668571,1.6497117233343297
2,150,0.5,0.00012721286174236532,3.895468977513434
2,150,0.55,0.005627217923373421,2.2497062657441895
2,150,0.6000000000000001,0.0037574928050614262,2.4251018423378903
2,150,0.6500000000000001,0.03609638514062579,1.4425362881798174
2,150,0.7000000000000002,0.01132945832669427,1.9457908537157074
2,150,0.7500000000000002,0.09977441832466574,1.00098079543193
2,150,0.8000000000000003,0.06861868735230557,1.1635575940779073
2,150,0.8500000000000003,0.022688047888471178,1.6442028698152207
2,150,0.9000000000000004,0.03870572065536179,1.4122248420754484
2,150,0.9500000000000004,0.014009022055221003,1.8535921809772598
2,150,1.0000000000000004,0.017363548580793253,1.760361513516299
2,170,0.5,5.053864415106155e-05,4.296376413496652
2,170,0.55,0.02749539246722745,1.5607400768500876
2,170,0.6000000000000001,0.017139597344199176,1.765999385052639
2,170,0.6500000000000001,0.029504087977810744,1.530117805608136
2,170,0.7000000000000002,0.01500178559189262,1.8238570458407433
2,170,0.7500000000000002,0.10008677763765456,0.9996232929332577
2,170,0.8000000000000003,0.005119391004903611,2.290781698973487
2,170,0.8500000000000003,0.03096213907168084,1.5091690429847417
2,170,0.9000000000000004,0.00905040024865861,2.0433322139505874
2,170,0.9500000000000004,0.036945477527395125,1.432438715729322
2,170,1.0000000000000004,0.0054836084522020285,2.260933562839286
2,190,0.5,5.259940474485554e-05,4.2790191706273895
2,190,0.55,0.08904890453221223,1.0503714188008686
2,190,0.6000000000000001,0.0087220429509019,2.0593817790139157
2,190,0.6500000000000001,0.08793374443631564,1.0558444331150094
2,190,0.7000000000000002,0.0011120546332990518,2.9538738761015644
2,190,0.7500000000000002,0.041880335274611644,1.3779898502183403
2,190,0.8000000000000003,0.028830480189863266,1.5401481241025603
2,190,0.8500000000000003,0.007123425939188685,2.147311086610266
2,190,0.9000000000000004,0.02151018609040841,1.6673558323978503
2,190,0.9500000000000004,0.012562728559119388,1.9009160238574159
2,190,1.0000000000000004,0.009199143747823556,2.0362525947089396
2,210,0.5,0.0001355401312973797,3.867932097995832
2,210,0.55,0.1201007270960198,0.920454363347857
2,210,0.6000000000000001,0.0040408648510740575,2.3935256745299562
2,210,0.6500000000000001,0.06043324991244256,1.2187240501154535
2,210,0.7000000000000002,0.010279876960758837,1.9880120833546804
2,210,0.7500000000000002,0.1570246152222358,0.8040322621306366
2,210,0.8000000000000003,0.018407802285373445,1.7349980589869816
2,210,0.8500000000000003,0.030382485367829903,1.5173767025803857
2,210,0.9000000000000004,0.014101161881277389,1.8507451016823266
2,210,0.9500000000000004,0.06829159965558239,1.1656327142920537
2,210,1.0000000000000004,0.009891654585780028,2.0047310575057318
2,230,0.5,0.0001158733385771149,3.9360164798331114
2,230,0.55,0.1639186558152791,0.7853716159441022
2,230,0.6000000000000001,0.002459102698148168,2.609223333681897
2,230,0.6500000000000001,0.030617997342693767,1.5140232189761194
2,230,0.7000000000000002,0.013093584467275628,1.8829414457901315
2,230,0.7500000000000002,0.24608174791710974,0.6089205970767303
2,230,0.8000000000000003,0.10673383395254538,0.9716978901377733
2,230,0.8500000000000003,0.0623511350517225,1.2051556361355127
2,230,0.9000000000000004,0.015554173648568278,1.8081530568407103
2,230,0.9500000000000004,0.008076492816939788,2.092777188843361
2,230,1.0000000000000004,0.01562554121528223,1.806164931248531
2,250,0.5,2.9345218552612973e-05,4.532462651669563
2,250,0.55,0.26986236783616463,0.5688576733559876
2,250,0.6000000000000001,0.0027400384788699634,2.5622433382586065
2,250,0.6500000000000001,0.025753677099664134,1.5891607538040486
2,250,0.7000000000000002,0.016769792380464235,1.7754723141725
2,250,0.7500000000000002,0.014382666880719874,1.8421605781955406
2,250,0.8000000000000003,0.03447608238329963,1.4624820901785016
2,250,0.8500000000000003,0.03446058216017731,1.4626773900679964
2,250,0.9000000000000004,0.009478957040576476,2.0232394449868765
2,250,0.9500000000000004,0.04742915786919643,1.3239545864172388
2,250,1.0000000000000004,0.007850496475385476,2.1051028770506406
2,270,0.5,7.427111872787221e-05,4.129180034362544
2,270,0.55,0.09301570964345482,1.0314436962279019
2,270,0.6000000000000001,0.012238029027127456,1.912288521044066
2,270,0.6500000000000001,0.014355666947755941,1.8429766258772227
2,270,0.7000000000000002,0.007061608906168585,2.1510963386840247
2,270,0.7500000000000002,0.01587542555370536,1.7992746242628275
2,270,0.8000000000000003,0.11255997573944856,0.9486160091787189
2,270,0.8500000000000003,0.00919161852595942,2.0366080082001736
2,270,0.9000000000000004,0.0219588908137528,1.6583896007261578
2,270,0.9500000000000004,0.024295078257157057,1.6144816976877523
2,270,1.0000000000000004,0.010611749219549313,1.9742130219626846
2,290,0.5,0.00016247693669023562,3.789208277632966
2,290,0.55,0.1449757837326843,0.8387045347966114
2,290,0.6000000000000001,0.0010988129568931463,2.959076228142976
2,290,0.6500000000000001,0.06597269748081981,1.180635758195056
2,290,0.7000000000000002,0.02139050247526365,1.6697790134803097
2,290,0.7500000000000002,0.04591696470247368,1.3380268282872447
2,290,0.8000000000000003,0.04782247016708308,1.320367995091281
2,290,0.8500000000000003,0.038739313857766404,1.411848075677434
2,290,0.9000000000000004,0.04290564070051249,1.3674856084197076
2,290,0.9500000000000004,0.024000601280082204,1.619777877898781
2,290,1.0000000000000004,0.014740401920249646,1.8314906745931918
2,310,0.5,0.00017537537893571372,3.756031377577202
2,310,0.55,0.21431432064616623,0.6689488081004444
2,310,0.6000000000000001,0.01585815783227754,1.7997472640388086
2,310,0.6500000000000001,0.003065543123342557,2.513492570224078
2,310,0.7000000000000002,0.015931888303797704,1.7977327470288627
2,310,0.7500000000000002,0.013202282178099845,1.879350989121017
2,310,0.8000000000000003,0.04878981719684387,1.3116708090767215
2,310,0.8500000000000003,0.04594987084872496,1.3377157049474
2,310,0.9000000000000004,0.01822138405045133,1.7394186381948185
2,310,0.9500000000000004,0.021553968286651966,1.6664727604759477
2,310,1.0000000000000004,0.012437462283807805,1.905268223227845
2,330,0.5,9.633780183043879e-05,4.016203267340683
2,330,0.55,0.22089172447116598,0.6558205543134001
2,330,0.6000000000000001,0.006564716002092852,2.1827840572960255
2,330,0.6500000000000001,0.014640933062009235,1.834431244946396
2,330,0.7000000000000002,0.00898324650504607,2.046566682884653
2,330,0.7500000000000002,0.12849682047619515,0.8911076183772566
2,330,0.8000000000000003,0.011704411949701725,1.931650401139938
2,330,0.8500000000000003,0.013935121862342921,1.8558892290381064
2,330,0.9000000000000004,0.016909847652252955,1.771860305121591
2,330,0.9500000000000004,0.012107617107621605,1.9169413216662763
2,330,1.0000000000000004,0.010156053466122653,1.9932750214669923
2,350,0.5,4.7931083638965354e-05,4.319382752249542
2,350,0.55,0.0011555004402166356,2.9372298847295544
2,350,0.6000000000000001,0.0006478008926825942,3.1885584578589423
2,350,0.6500000000000001,0.002637113408201584,2.578871193112485
2,350,0.7000000000000002,0.007100986095731065,2.1486813377319316
2,350,0.7500000000000002,0.044464653688659116,1.3519850858219498
2,350,0.8000000000000003,0.005990926387471679,2.2225060166992794
2,350,0.8500000000000003,0.0035813073723742887,2.445958403255799
2,350,0.9000000000000004,0.01854721834282228,1.7317212153723218
2,350,0.9500000000000004,0.0139238734473528,1.8562399326274874
2,350,1.0000000000000004,0.005041446292441716,2.2974448550781226
2,370,0.5,4.708020485664905e-05,4.327161656110704
2,370,0.55,0.019000062841701835,1.7212449626387918
2,370,0.6000000000000001,0.014513272383921144,1.838234653858108
2,370,0.6500000000000001,0.0014508029966072036,2.838391556063323
2,370,0.7000000000000002,0.005703545838415239,2.243855063752763
2,370,0.7500000000000002,0.019803069945797773,1.7032674785682231
2,370,0.8000000000000003,0.002583845019164201,2.5877335391832688
2,370,0.8500000000000003,0.015367366834886976,1.8134005415469028
2,370,0.9000000000000004,0.018755824219063532,1.7268638461533026
2,370,0.9500000000000004,0.0066903288497157055,2.1745525348320434
2,370,1.0000000000000004,0.01336071685096097,1.8741702397598217
2,390,0.5,6.707645970580481e-05,4.173429867515087
2,390,0.55,0.0045273239088576885,2.344158432653586
2,390,0.6000000000000001,0.0024479381858581663,2.6111995529805796
2,390,0.6500000000000001,0.0016047378267354643,2.794595910114267
2,390,0.7000000000000002,0.0003427062733620166,3.4650779455801413
2,390,0.7500000000000002,0.016886669103875304,1.7724560065845458
2,390,0.8000000000000003,0.01791568877868975,1.7467664904822984
2,390,0.8500000000000003,0.026721901264941134,1.5731326450177026
2,390,0.9000000000000004,0.011431544373444937,1.941895093527967
2,390,0.9500000000000004,0.005426618956844582,2.265470672385807
2,390,1.0000000000000004,0.004096965037395548,2.3875377422052604
2,410,0.5,1.2977549628558833e-05,4.88680730162322
2,410,0.55,0.006093862630895443,2.215107339958522
2,410,0.6000000000000001,0.01610897220633157,1.7929321677966759
2,410,0.6500000000000001,0.007927544750742154,2.100861297715188
2,410,0.7000000000000002,0.002315612402532791,2.635334132996611
2,410,0.7500000000000002,0.020414837099622295,1.6900540811839133
2,410,0.8000000000000003,0.007524773996498834,2.1235065393949046
2,410,0.8500000000000003,0.014044972181706557,1.8524791166506056
2,410,0.9000000000000004,0.013855714073101485,1.858371087347189
2,410,0.9500000000000004,0.0158250923622397,1.8006537465684915
2,410,1.0000000000000004,0.013847708455706022,1.8586220885043379
2,430,0.5,3.145540312890903e-05,4.50230474457407
2,430,0.55,0.013560540436667533,1.8677230019154547
2,430,0.6000000000000001,0.0018600510215376494,2.730475142842109
2,430,0.6500000000000001,0.005062552728246367,2.2956304404257324
2,430,0.7000000000000002,0.008237125886165425,2.084224296739489
2,430,0.7500000000000002,0.02581243221857151,1.5881710714213744
2,430,0.8000000000000003,0.005863325189415374,2.231856018478987
2,430,0.8500000000000003,0.01574772572952585,1.802782157711548
2,430,0.9000000000000004,0.010451213115548304,1.9808332962696198
2,430,0.9500000000000004,0.025286626466406968,1.597109106786512
2,430,1.0000000000000004,0.008580459482398833,2.0664894551201414
2,450,0.5,0.00011217692054939609,3.9500964862979875
2,450,0.55,0.011708118426927722,1.9315128933529448
2,450,0.6000000000000001,0.0047794966093231426,2.3206178421547508
2,450,0.6500000000000001,0.005768355703440992,2.2389479668603087
2,450,0.7000000000000002,0.006523502694136612,2.185519153919985
2,450,0.7500000000000002,0.03155368999792238,1.5009498455473067
2,450,0.8000000000000003,0.012874226579045158,1.8902788518046019
2,450,0.8500000000000003,0.01942021196592632,1.7117460342050597
2,450,0.9000000000000004,0.026815972959248358,1.5716064409844515
2,450,0.9500000000000004,0.010226659466828651,1.9902662051973823
2,450,1.0000000000000004,0.007785168586197545,2.1087319784378553
2,470,0.5,3.755541977365465e-05,4.425327379353777
2,470,0.55,0.00971983922507005,2.0123409186377557
2,470,0.6000000000000001,0.0008965730677229219,3.047414311103726
2,470,0.6500000000000001,0.005750465906952722,2.2402969670283652
2,470,0.7000000000000002,0.003222689040397381,2.4917815978555664
2,470,0.7500000000000002,0.002534565454075322,2.5960964888253977
2,470,0.8000000000000003,0.0038530934379984627,2.414190459163719
2,470,0.8500000000000003,0.020813310589803156,1.6816588348998327
2,470,0.9000000000000004,0.018156558187831292,1.740966474190445
2,470,0.9500000000000004,0.009616282290992867,2.0169927962126937
2,470,1.0000000000000004,0.008791816584121355,2.0559213807909904
2,490,0.5,7.796223065277689e-05,4.108115743357227
2,490,0.55,0.0009650858240451819,3.0154340635972767
2,490,0.6000000000000001,0.007135949764860904,2.146548215935815
2,490,0.6500000000000001,0.0034635857180076723,2.460474059825301
2,490,0.7000000000000002,0.003070366418012896,2.512809792657929
2,490,0.7500000000000002,0.05552355904588749,1.2555227034961038
2,490,0.8000000000000003,0.002295148158318257,2.6391892742821805
2,490,0.8500000000000003,0.010812025634442,1.9660929332948522
2,490,0.9000000000000004,0.010768347585917496,1.9678509345270787
2,490,0.9500000000000004,0.00948838062106366,2.022807902150965
2,490,1.0000000000000004,1.370703683755551,-0.13694357993999776
3,50,0.5,0.00012228038871788576,3.9126431893623335
3,50,0.55,0.001262153854536178,2.8988877020622508
3,50,0.6000000000000001,0.006642400640519156,2.1776749332062795
3,50,0.6500000000000001,0.06589006264669585,1.1811800795354597
3,50,0.7000000000000002,0.038030815095149426,1.4198643664755557
3,50,0.7500000000000002,0.33640582760250876,0.4731364894683863
3,50,0.8000000000000003,0.05448785118295255,1.2637003188675482
3,50,0.8500000000000003,0.04112866635146979,1.3858553728051441
3,50,0.9000000000000004,0.0342859913388257,1.4648832889065702
3,50,0.9500000000000004,0.0718201023960966,1.1437539800226995
3,50,1.0000000000000004,0.014464272861990425,1.8397033940217118
3,70,0.5,0.0001083309284374154,3.9652475347680456
3,70,0.55,0.08409063874765971,1.0752523486315944
3,70,0.6000000000000001,0.024958308885312128,1.6027848447371555
3,70,0.6500000000000001,0.00863897858554476,2.0635376025308787
3,70,0.7000000000000002,0.0013098797148049476,2.882768583424338
3,70,0.7500000000000002,0.035960209194656007,1.444177790469941
3,70,0.8000000000000003,0.020467666176308005,1.6889316749014855
3,70,0.8500000000000003,0.10313125610943683,0.9866096926345392
3,70,0.9000000000000004,0.03482835982276305,1.4580669773561703
3,70,0.9500000000000004,0.03177907996298481,1.4978586802180893
3,70,1.0000000000000004,0.018377642975495254,1.735710189814813
3,90,0.5,0.00026803287564134575,3.5718119342026604
3,90,0.55,0.24427612464156126,0.6121189785571928
3,90,0.6000000000000001,0.022598486176203705,1.6459206523278749
3,90,0.6500000000000001,0.005828037788847298,2.2344776409386546
3,90,0.7000000000000002,0.020305247741971788,1.6923917073650343
3,90,0.7500000000000002,0.011970701574578151,1.9218803958726887
3,90,0.8000000000000003,0.00703572902345467,2.1526908954630963
3,90,0.8500000000000003,0.004816787973921996,2.3172424701029004
3,90,0.9000000000000004,0.008496665151110342,2.07075149671581
3,90,0.9500000000000004,0.018628416744762646,1.7298240548317338
3,90,1.0000000000000004,0.016080129649264675,1.7937104539872415
3,110,0.5,0.0003358688409909295,3.4738302843791784
3,110,0.55,0.2538898679812417,0.5953546302315846
3,110,0.6000000000000001,0.001649706735614717,2.782593252406768
3,110,0.6500000000000001,0.03731987824078636,1.428059781845175
3,110,0.7000000000000002,0.02602847706190883,1.5845512419160586
3,110,0.7500000000000002,0.008614256393689462,2.064782206092411
3,110,0.8000000000000003,0.06954360286235954,1.1577428134699932
3,110,0.8500000000000003,0.011472611141754864,1.9403377263535433
3,110,0.9000000000000004,0.01779165013134703,1.7497837703138277
3,110,0.9500000000000004,0.04598611384350641,1.3373732898743618
3,110,1.0000000000000004,0.02233441829507695,1.651025354341821
3,130,0.5,6.37096346780947e-05,4.195794885229408
3,130,0.55,0.19323889609788844,0.7139054521416603
3,130,0.6000000000000001,0.018324263381633933,1.7369734745706866
3,130,0.6500000000000001,0.0052763168029187095,2.2776691362437784
3,130,0.7000000000000002,0.007912809862943434,2.1016692698173625
3,130,0.7500000000000002,0.10422043862500006,0.9820471033817285
3,130,0.8000000000000003,0.09537726034425495,1.0205551565767232
3,130,0.8500000000000003,0.07697850980255153,1.1136305005003662
3,130,0.9000000000000004,0.011742186990696398,1.930251007897974
3,130,0.9500000000000004,0.0234908065378008,1.6291020718174107
3,130,1.0000000000000004,0.0494350219138212,1.3059652689914136
3,150,0.5,7.997633281834769e-05,4.097038513596709
3,150,0.55,0.15518978063215208,0.8091368807659208
3,150,0.6000000000000001,0.01967072211230761,1.7061796968354097
3,150,0.6500000000000001,0.014856178341440872,1.8280928957357792
3,150,0.7000000000000002,0.006025053731628253,2.220039075683285
3,150,0.7500000000000002,0.12062775573998744,0.9185527520813156
3,150,0.8000000000000003,0.12707492198220002,0.8959401482607923
3,150,0.8500000000000003,0.03616170975793817,1.4417510438801997
3,150,0.9000000000000004,0.011388066446239877,1.943550007528671
3,150,0.9500000000000004,0.023745933753272625,1.6244107481320569
3,150,1.0000000000000004,0.005315066445890493,2.274491301808002
3,170,0.5,0.0005851488913116519,3.2327336134945077
3,170,0.55,0.17172203628939642,0.7651739702740974
3,170,0.6000000000000001,0.01863439287979219,1.7296847522662622
3,170,0.6500000000000001,0.022498706285113464,1.6478424538615193
3,170,0.7000000000000002,0.04810243366855319,1.3178329506098243
3,170,0.7500000000000002,0.04057641095994117,1.391726369555641
3,170,0.8000000000000003,0.05577380076990365,1.2535697590022166
