M,delta,-log10(delta),C_8,C_9
5,447.67148455446335,-2.650959431897285,,
6,447.67148455446335,-2.650959431897285,,
7,1.1356283619083926e-27,26.944763769662824,,
8,1.3074539578454775e-27,26.883573595925863,-1.0658141036401503e-14,
9,7.926310144937811e-27,26.100928938360667,1.7763568394002505e-15,-5.861977570020827e-14
10,2.452892087323228e-27,26.610321557749973,-5.329070518200751e-15,1.5987211554602254e-14
11,3.71887810785061e-27,26.42958805610067,5.329070518200751e-15,-5.329070518200751e-15
12,1.5485284412138808e-26,25.81008081371771,3.552713678800501e-15,3.197442310920451e-14
13,4.616848002169983e-27,26.335654423240815,7.105427357601002e-15,-2.3092638912203256e-14
14,3.729379790661183e-27,26.428363386928435,-2.842170943040401e-14,3.907985046680551e-14
15,4.568528978270646e-27,26.340223616004895,-1.4210854715202004e-14,-1.7763568394002505e-15
16,6.296380211825038e-27,26.200909054646466,-3.375077994860476e-14,3.375077994860476e-14
17,4.9437823613273705e-27,26.305940656316295,-2.6645352591003757e-14,7.105427357601002e-15
18,3.667593067737975e-27,26.435618856818774,2.3092638912203256e-14,2.4868995751603507e-14
19,2.7958320317281915e-27,26.553488923729223,1.4210854715202004e-14,3.907985046680551e-14
