a_min,a_max,RMSE
1.5,1.1,
1.5,1.2000000000000002,
1.5,1.3,
1.5,1.4000000000000001,
1.5,1.5,8.165157610690445
1.5,1.6,0.9736453642277182
1.5,1.7000000000000002,1.7290618696124633
1.5,1.8,2.103797909626576
1.5,1.9,2.290049787822536
1.5,2.0,2.407169235830909
1.5,2.1,2.5059539563658695
1.5,2.2,2.603000321644668
1.5,2.3,2.703494326167372
1.5,2.4,2.8090681875722874
1.5,2.5,2.9180848547119567
1.5,2.5999999999999996,3.02096668339833
1.5,2.7,3.098053292610541
1.5,2.8,3.122838024970695
1.5,2.9,3.060561879826109
1.5,3.0,2.8746498686379396
1.5,3.0999999999999996,2.5838035581144445
1.5,3.1999999999999997,2.3173872418356707
1.5,3.3,2.19218725156207
1.5,3.4,2.1988921317023298
1.5,3.5,2.277778117387737
1.5,3.6,2.3920264416943064
1.5,3.6999999999999997,2.5275839325427425
1.5,3.8,2.6779521808641777
1.5,3.9,2.838051917519841
1.5,4.0,3.0038934895402716
3.2,1.1,
3.2,1.2000000000000002,
3.2,1.3,
3.2,1.4000000000000001,
3.2,1.5,
3.2,1.6,
3.2,1.7000000000000002,
3.2,1.8,
3.2,1.9,
3.2,2.0,
3.2,2.1,
3.2,2.2,
3.2,2.3,
3.2,2.4,
3.2,2.5,
3.2,2.5999999999999996,
3.2,2.7,
3.2,2.8,
3.2,2.9,
3.2,3.0,
3.2,3.0999999999999996,
3.2,3.1999999999999997,
3.2,3.3,1.1250476694849494
3.2,3.4,1.1983202245077635
3.2,3.5,1.112311977659247
3.2,3.6,0.9797907369751294
3.2,3.6999999999999997,0.8652411325243754
3.2,3.8,0.7951082509385958
3.2,3.9,0.773860567712397
3.2,4.0,0.7907132242300817
3.5,1.1,
3.5,1.2000000000000002,
3.5,1.3,
3.5,1.4000000000000001,
3.5,1.5,
3.5,1.6,
3.5,1.7000000000000002,
3.5,1.8,
3.5,1.9,
3.5,2.0,
3.5,2.1,
3.5,2.2,
3.5,2.3,
3.5,2.4,
3.5,2.5,
3.5,2.5999999999999996,
3.5,2.7,
3.5,2.8,
3.5,2.9,
3.5,3.0,
3.5,3.0999999999999996,
3.5,3.1999999999999997,
3.5,3.3,
3.5,3.4,
3.5,3.5,8.165157610690445
3.5,3.6,0.3918062741190658
3.5,3.6999999999999997,0.43370873486902106
3.5,3.8,0.4495547027073421
3.5,3.9,0.4734683212788849
3.5,4.0,0.505559668276
3.6,1.1,
3.6,1.2000000000000002,
3.6,1.3,
3.6,1.4000000000000001,
3.6,1.5,
3.6,1.6,
3.6,1.7000000000000002,
3.6,1.8,
3.6,1.9,
3.6,2.0,
3.6,2.1,
3.6,2.2,
3.6,2.3,
3.6,2.4,
3.6,2.5,
3.6,2.5999999999999996,
3.6,2.7,
3.6,2.8,
3.6,2.9,
3.6,3.0,
3.6,3.0999999999999996,
3.6,3.1999999999999997,
3.6,3.3,
3.6,3.4,
3.6,3.5,
3.6,3.6,8.165157610690445
3.6,3.6999999999999997,0.3404278328302492
3.6,3.8,0.3693797705953065
3.6,3.9,0.3913734947856111
3.6,4.0,0.41786020451790057
