m,delta
100,0.0006239928702761882
105,0.001377708138763604
110,0.0005218737580481075
115,0.0005636505488357298
120,9.295059029596856e-05
125,7.52863180309675e-05
130,0.00010854687508772119
135,5.652370040950652e-05
140,5.909474515484614e-05
145,8.846978736909811e-05
150,3.63955820940512e-05
155,4.695366238618846e-05
160,3.0501188414436876e-05
165,3.822331502157931e-05
170,2.5103780111213915e-05
175,2.988260099535066e-05
180,4.6673262799910047e-05
185,2.6912684023416582e-05
190,3.3212947227354794e-05
195,2.202389938842022e-05
200,3.755120313843504e-05
205,5.707755763952063e-05
210,3.249323878559177e-05
215,7.055293240850734e-05
220,7.047132745424675e-05
225,1.4706488357435538e-05
230,2.3926658507887112e-05
235,2.499291045208894e-05
240,2.4041921506792347e-05
245,2.789364243783726e-05
250,4.176271187769951e-05
255,2.8978664845662915e-05
260,7.607961592007735e-05
265,5.337196512323511e-05
270,0.0001348166222837112
275,6.503310548043921e-05
280,4.427672768501248e-05
285,8.910443224071763e-05
290,2.2579663124324283e-05
295,3.067482319465872e-05
300,2.473116237303206e-05
305,1.8687960463757916e-05
310,1.970840376240297e-05
315,1.5197866654330152e-05
320,0.00014529535219917248
325,0.00010430801523543928
330,2.1085233995301544e-05
335,9.889670556247315e-05
340,2.012586658131053e-05
345,3.563307674195689e-05
350,4.723094506615431e-05
355,3.748350729228845e-05
360,8.72869045182955e-05
365,2.8238763227276958e-05
370,4.830681175872649e-05
375,2.5451793223718095e-05
380,2.4249138673222527e-05
385,1.888530868577481e-05
390,3.6024091805210135e-05
395,8.399840097580355e-06
400,0.000114903558655494
405,6.542401737818337e-06
410,0.00012516615654576869
415,6.219903947507879e-06
420,4.226447593601435e-05
425,8.413708405292964e-06
430,4.428711637549361e-06
435,2.306428269869129e-05
440,5.39539192622026e-06
445,9.350638195310029e-05
450,6.555413538144537e-05
455,3.4991437796017946e-06
460,7.255318853072927e-06
465,7.201406328163287e-06
470,5.2234737817569846e-05
475,1.6467851584535432e-05
480,0.00010675178948712705
485,0.00015423833688283146
490,0.0004955405183363847
495,0.0006756717024953941
500,0.0007923992071665758
505,0.004790988279718934
510,0.02548586766770873
515,0.02334298600518203
520,0.034918611498911144
525,0.029843931342135158
530,0.03438185809770358
535,0.034387916744028066
540,0.03385719079207556
545,0.03308609193339998
550,0.026778079320659492
555,0.01664435880541979
560,0.016506772510927265
565,0.01948972454125464
570,0.02110482820936196
575,0.021084499233365004
580,0.020364146444672424
585,0.020327472935203764
590,0.020465700216747807
595,0.021249907228950763
600,0.022126295825448415
605,0.022781261755680123
610,0.02360965889445424
615,0.023985733685898042
620,0.023950171067670282
625,0.024393418061216286
630,0.02447979683209083
635,0.025011976429391024
640,0.02584709362195291
645,0.026070046898111748
650,0.02634179016690488
655,0.026166308044518177
660,0.0258687352956374
665,0.025274066228418553
670,0.024596286489512693
675,0.02396990502784918
680,0.022754605441313868
685,0.020884200938518116
690,0.019279869259436207
695,0.018300420191536722
700,0.017334876689032334
705,0.016262840179810667
710,0.015692365673035696
715,0.015490585056804127
720,0.016210094467881544
725,0.01690890611063569
730,0.018066346335579398
735,0.019351427110766428
740,0.020972210779032097
745,0.02199842100797519
750,0.0232751479176944
755,0.0242848058336732
760,0.025239822870539056
765,0.026483831533650665
770,0.027433991924770917
775,0.028602895929946134
780,0.02995772709920883
785,0.03144752703427953
790,0.03239019669416142
795,0.03353771619631682
800,0.0348802807688774
805,0.036656314451530975
810,0.038079507323775866
815,0.03920559420565755
820,0.0412576716420628
825,0.042562056084109554
830,0.04391147612553682
835,0.045237570436768876
840,0.04629218078424583
845,0.048257628525122324
850,0.04964334034879086
855,0.05031205745379214
860,0.05156753143321812
865,0.05322490470094615
870,0.05383408543505393
875,0.05511843744720677
880,0.05646895879511075
885,0.057767781602762955
890,0.05900271456871403
895,0.06055223180125266
900,0.06281721882611808
905,0.06376231476368494
910,0.06613003241267555
915,0.06850571305704138
920,0.07111969972508787
925,0.07346606824102028
930,0.07661799155001484
935,0.08049757199063187
940,0.08411780473805221
945,0.08873793009932436
950,0.09365335116575334
955,0.0989050740715217
960,0.10466855729993722
965,0.11088365939620067
970,0.11754103431367519
975,0.12470639536980112
980,0.1322675880501272
985,0.14055044740085743
990,0.14903984625593675
995,0.15823903165691913
1000,0.16824286864373372
1005,0.17803794968193828
1010,0.18917065873468106
1015,0.20075911835046553
1020,0.2125172701319388
1025,0.22517589965532056
1030,0.237601781736191
1035,0.2526549789442649
1040,0.2661342329570909
1045,0.2803815260721861
1050,0.2968625940173863
1055,0.3122841144860481
1060,0.32860552634787094
1065,0.34535772020182814
1070,0.36104705905282847
1075,0.38074540866007167
1080,0.39729465518357493
1085,0.42052227151511523
1090,0.44150928100138453
1095,0.4604404642911022
1100,0.48385982447234194
1105,0.5101715456254937
1110,0.5293971925207552
1115,0.5567877896894405
1120,0.5861275894294367
1125,0.6104339430966143
1130,0.6421643314136667
1135,0.6719416250798573
1140,0.701323978816316
1145,0.7280495960122245
1150,0.7694175499620289
1155,0.7972426547453316
1160,0.8304942156980424
1165,0.8670507449523891
1170,0.9052930378908681
1175,0.9427664752677505
1180,0.9825210185807064
1185,1.0248862228830546
1190,1.063274930090037
1195,1.1108102015783072
