m,delta
100,0.3109389324636439
105,0.2675535780789204
110,0.2334095968826418
115,0.21070117297151106
120,0.19367662387697124
125,0.1820542539588361
130,0.1690809336555952
135,0.16214740327000474
140,0.1542410004155309
145,0.13788361043699146
150,0.12692933843622772
155,0.11618490230321968
160,0.09905931408062002
165,0.08529045659038462
170,0.07025131690244517
175,0.06406160760673335
180,0.06364709589920212
185,0.067681048606493
190,0.06915982668629599
195,0.07192833184955487
200,0.06450453754956402
205,0.06555856996477248
210,0.059220477818341166
215,0.06250239081023806
220,0.05592752857754306
225,0.05282551819889488
230,0.05902195154226971
235,0.049607666875862
240,0.052922982620937135
245,0.03866046902216316
250,0.04054767650601756
255,0.0599138788888549
260,0.08989177378638605
265,0.1640222937696643
270,0.12341177985816937
275,0.19918856666228762
280,0.12944295729545893
285,0.15944509272909996
290,0.13753181896000177
295,0.128846063544721
300,0.14624149470974715
305,0.14918283339176755
310,0.18293452065226257
315,0.16856829170221233
320,0.18567643156353839
325,0.1739090761511286
330,0.4644205264539661
335,0.4071610287074471
340,0.5470861248002061
345,0.08679957859580407
350,0.17688655337531653
355,0.14658625535322722
360,0.21606892441042563
365,0.13442757887706966
370,0.09327744658968429
375,0.07515952662910749
380,0.07457946978616194
385,0.0661287653821024
390,0.09168709525467775
395,0.11479935421974301
400,0.048472487269184864
405,0.04626135148271114
410,0.06853852024579367
415,0.07259451396970094
420,0.07610693868516039
425,0.11669455881228537
430,0.09341972802639092
435,0.08519807522336226
440,0.10886158479243002
445,0.16199220670855422
450,0.18675794482060432
455,0.14871424193209354
460,0.09553299847475105
465,0.13879770130420852
470,0.13195982037242704
475,0.5817832659719904
480,5.6652930812909545
485,14.885937153424788
490,35.922096903119936
495,40.13094189555996
500,70.06329631522073
505,14.075293114419182
510,12.809310673854707
515,52.31330544698198
520,26.40956776114905
525,32.96337922919276
530,26.748313600119634
535,12.094574334081027
540,11.589142610010033
545,10.001325895907767
550,12.549459041497196
555,13.88589081519004
560,11.560290627935867
565,9.820888812880733
570,8.022480592159502
575,10.780907197009766
580,11.13185025836426
585,13.747839035366137
590,11.611740287136916
595,8.605425931428883
600,13.444704335703488
605,12.017607949105884
610,14.360253923309772
615,11.652898199442388
620,11.438751712213142
625,10.608287422687077
630,12.916167211063192
635,11.95697271872495
640,13.238447273179098
645,13.466017943876022
650,12.521680553662716
655,15.001843216087165
660,13.19489851531664
665,12.264585523963945
670,13.305457261328463
675,13.760118338627866
680,14.818034579749161
685,13.835643167132675
690,14.85169305508497
695,15.656183211347019
700,13.500730988301582
705,13.716277118860162
710,13.501139714318048
715,14.312495380884817
720,13.88673749395003
725,16.09253931934564
730,15.834314770830728
735,14.136693711595775
740,16.159827408232353
745,18.19249213279479
750,21.3653140936218
755,21.130736298482756
760,20.609215499073905
765,21.187304975677378
770,22.991270156638567
775,22.984636229853198
780,24.405182351836608
785,24.388540532766346
790,24.976518134262168
795,26.819675947342663
800,27.26078578584537
805,27.227517212249474
810,27.589420567620802
815,28.375653747711493
820,29.09472748409857
825,29.434059048900536
830,31.252821812223544
835,32.91687203361759
840,35.81863707283307
845,35.20555271379036
850,36.39326867857119
855,38.66658884928541
860,39.25774462100168
865,39.71636302453827
870,40.56203542133899
875,43.16514348073306
880,45.44193422004117
885,45.21306161847812
890,46.255233910446044
895,46.2269027546267
900,47.346962607924716
905,48.27700395468236
910,50.23888622944135
915,50.6261735670282
920,50.30657896067178
925,51.39544676758957
930,51.99509868685359
935,51.175437995159506
940,53.2428746870687
945,53.02320968286558
950,53.52189734238254
955,54.30330102602874
960,53.31858049211341
965,56.95724969984293
970,54.266637801808514
975,57.01919416103662
980,56.586430048864045
985,58.90071076143208
990,61.36974629090158
995,59.005651019143706
1000,60.919611830722374
1005,61.04703132807862
1010,62.47864129765965
1015,63.38430677880506
1020,66.18639702503411
1025,65.46791807344796
1030,67.13381189762815
1035,71.3852703355692
1040,75.89939330797486
1045,75.29514628824865
1050,76.70077774212547
1055,83.64837204701132
1060,83.13315235451152
1065,85.38509205172988
1070,86.80497623217839
1075,93.16745923913172
1080,95.81521028473514
1085,95.04070020890897
1090,99.69355380847746
1095,98.9607075542537
1100,103.11176201333602
1105,107.84448440739033
1110,108.65562123812707
1115,110.83921313143621
1120,111.36743142765357
1125,113.82749950756778
1130,117.77113702828088
1135,115.67363419222318
1140,121.23862452306058
1145,124.95931794501396
1150,123.14626664158111
1155,124.08379375824943
1160,120.03341038882951
1165,125.32875335441953
1170,125.0657297758451
1175,123.75240415981163
1180,124.12523281543828
1185,128.68387467902164
1190,125.6232464767753
1195,129.78432540756353
