m,delta
100,0.30862220853650035
105,0.2680269053277323
110,0.2324466214084684
115,0.21333281762241912
120,0.1954267004319599
125,0.182004547245462
130,0.1715309916577659
135,0.1640330563253608
140,0.1526083139797207
145,0.13764077001198835
150,0.12603964625133982
155,0.11229405489954633
160,0.10178778177113133
165,0.08819460355430239
170,0.07239463600931806
175,0.06671806230154637
180,0.06292753377585542
185,0.06983148578054872
190,0.07074310875478554
195,0.06832722636163323
200,0.06663775516495844
205,0.06300242821265338
210,0.0613166565278755
215,0.060332164097884264
220,0.05539961728517333
225,0.05704669137126224
230,0.053849495869381064
235,0.05400892428657538
240,0.03994877319745485
245,0.04619725889876397
250,0.054405433765557815
255,0.09920912618299037
260,0.1181683281021631
265,0.14940225849444483
270,0.11852572129183518
275,0.14754629593498417
280,0.14012760434961183
285,0.12754882333737674
290,0.13164561048279402
295,0.14653617250124557
300,0.14820748181038698
305,0.20097550536797637
310,0.10464904316532395
315,0.14905366709797155
320,0.18559905772116864
325,0.19290390976215202
330,0.40664805149898225
335,1.8401812627898129
340,0.21351493172705605
345,0.27633254508106087
350,0.08586980153494847
355,0.09840265382706401
360,0.09464393207857358
365,0.05975119331328657
370,0.10287595278351962
375,0.12718483086245283
380,0.059013036551595
385,0.06082485255675131
390,0.05067373313578931
395,0.0390638307725522
400,0.04743875350460675
405,0.05132883656088303
410,0.08456992395236099
415,0.08063119271160733
420,0.07961181174236892
425,0.0678271814238785
430,0.08220970817011937
435,0.0840622158366108
440,0.1843773167774828
445,0.19694310780635152
450,0.21874504671869308
455,0.17483219957590437
460,0.2246873468852942
465,0.16664664310419874
470,0.17388597438926084
475,0.9663894175175728
480,7.91330781122468
485,16.57274089004394
490,16.212429162160035
495,34.26691975085991
500,53.23796261643097
505,51.05329292784162
510,75.58185752514335
515,27.731333836604957
520,35.5832327642736
525,20.365838758212742
530,28.216677961041114
535,11.826926488214244
540,16.11468625237804
545,13.684299187939402
550,9.520488733814828
555,9.704854713712702
560,10.236727526346295
565,9.266773060470397
570,8.871309895790153
575,9.18845093582757
580,11.750882442929386
585,9.349508711371266
590,12.84710803451791
595,13.79506243827733
600,10.793079654398063
605,13.38128594849253
610,13.519817445972626
615,12.07604076997162
620,12.379032448085598
625,11.990003542619338
630,11.330100266185147
635,14.043081557303848
640,13.691923270820844
645,12.72229363912631
650,12.348928964735443
655,11.980689318229974
660,13.387421444402179
665,12.909677540501129
670,14.112355315000917
675,13.086417285681781
680,13.892731580211665
685,14.31337808650924
690,13.605205766400555
695,13.606117176403396
700,13.64814395637252
705,13.699915970095708
710,14.650333433092648
715,13.787704039827144
720,14.121284814670974
725,13.590587611671488
730,14.454565382406255
735,15.934377194425533
740,18.596552538402666
745,17.72996092448015
750,18.788714377134788
755,20.554735981242974
760,21.05528741212843
765,22.15804419523859
770,21.170533350078653
775,23.154511146814098
780,24.41944646756073
785,23.718536444914584
790,25.80345471176574
795,26.15943623445878
800,25.575645145140488
805,26.228176576105568
810,29.33248813138436
815,27.5066913307686
820,29.769104164375815
825,30.48261748945991
830,31.998091400277936
835,33.486000013187606
840,34.11833024543384
845,35.871898626174286
850,36.25739869370441
855,37.712829942645214
860,39.689183269176844
865,41.50061513177821
870,41.90601510438689
875,42.896613919331095
880,42.54124595435577
885,45.09049858990987
890,45.53762490740957
895,47.08747054150134
900,48.02217791690755
905,49.057233704616564
910,50.64406002475536
915,49.52354609987178
920,51.559283119722046
925,52.219567026192905
930,52.61225421916843
935,52.764610474352466
940,53.34464906345536
945,53.59727666003832
950,53.72413241428825
955,54.028617456231444
960,55.63767605585586
965,54.15694783470496
970,57.87652224538286
975,56.47093975098184
980,58.89284504453454
985,58.23055624482661
990,58.45345023300827
995,58.77630352317402
1000,62.14657241853976
1005,59.061733141033955
1010,64.19101701896376
1015,64.09783293160812
1020,61.50238490382517
1025,67.29017960442714
1030,68.40538015430717
1035,71.32600571609579
1040,71.52988907893207
1045,76.93315403549924
1050,77.56095829495271
1055,78.89599976112338
1060,83.92451420739316
1065,82.69072947107087
1070,87.43013783277942
1075,85.67048976006619
1080,91.97160558379686
1085,95.21701225238883
1090,102.48453714302858
1095,101.54041471414565
1100,105.3090064256346
1105,107.61178901033448
1110,108.23816884641953
1115,111.38171893507689
1120,111.32401396442283
1125,113.94768470538558
1130,114.71229862418491
1135,118.11870367655165
1140,121.2465311344435
1145,117.30358418754523
1150,123.50648311995742
1155,123.4257246484747
1160,122.28612950704047
1165,123.21130349498667
1170,127.10443729853681
1175,128.65127244453862
1180,124.90259553704549
1185,126.43080268377527
1190,126.25608998381686
1195,126.55632693268443
